Package,OpenSSF_SS,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
keyboard,2.3,7.7,0.745238588,7.45238588,61,3.9,762,keyboard-0.13.5,3,5.90E-05,0.00137,1,6.350795293
yacs,2.22,7.78,0.716682532,7.16682532,61,3.9,7975,yacs-0.1.8,3,4.10E-05,0.00091,2,6.282275107
monotonic,2.14,7.86,0.636503748,6.36503748,61,3.9,5502,monotonic-1.6,7,7.80E-05,0.0034,1,6.04167916
python-consul,2.14,7.86,0.794227323,7.94227323,61,3.9,4782,python-consul-1.1.0,3,3.80E-05,0.00046,29,6.56742441
geocoder,2.05,7.95,0.671641247,6.71641247,61,3.9,5005,geocoder-1.38.1,8,4.60E-05,0.00139,33,6.188804157
chevron,1.97,8.03,0.76550088,7.6550088,61,3.9,2378,chevron-0.14.0,1,4.40E-05,0.00048,1,6.528336267
graypy,1.97,8.03,0.75057081,7.5057081,61,3.9,3471,graypy-2.1.0,2,6.50E-05,0.00091,1,6.478569367
pluginbase,1.95,8.05,0.80604882,8.0604882,61,3.9,4527,pluginbase-1.0.1,4,6.10E-05,0.00185,1,6.670162733
memoization,1.89,8.11,0.671641247,6.71641247,61,3.9,10039,memoization-0.4.0,2,6.60E-05,0.00094,1,6.24213749
furl,1.86,8.14,0.77057405,7.7057405,61,3.9,1714,furl-2.1.3,16,9.70E-05,0.0064,3,6.5819135
python-bidi,1.81,8.19,0.811572677,8.11572677,61,3.9,2212,python-bidi-0.4.2,4,6.00E-05,0.00139,2,6.735242257
cfscrape,1.24,8.76,0.775767654,7.75767654,61,3.9,4162,cfscrape-2.1.1,2,3.70E-05,0.00048,28,6.80589218
requests-html,1.08,8.92,0.59463491,5.9463491,61,3.9,1039,requests-html-0.10.0,14,9.30E-05,0.0032,59,6.2554497
asyncio,0,10,0.847593079,8.47593079,61,3.9,913,asyncio-3.4.3,18,0.000181,0.00834,1,7.458643597
opentracing,0,10,0.754787866,7.54787866,61,3.9,6216,opentracing-2.4.0,4,6.20E-05,0.00187,1,7.149292887
kaleido,0,10,0.661613458,6.61613458,61,3.9,4422,kaleido-0.2.1,2,4.40E-05,0.00094,1,6.838711527
timeout-decorator,0,10,0.704842602,7.04842602,61,3.9,12128,timeout-decorator-0.5.0,2,5.00E-05,0.00094,1,6.982808673
dockerpty,0,10,0.77521473,7.7521473,61,3.9,1355,dockerpty-0.4.1,3,4.00E-05,0.00096,2,7.217382433
flatten-json,0,10,0.766573887,7.66573887,61,3.9,11560,flatten-json-0.1.13,2,6.50E-05,0.00046,2,7.188579623
peppercorn,0,10,0.786901741,7.86901741,61,3.9,2970,peppercorn-0.6,5,0.000146,0.00233,1,7.256339137
jsonpath-rw,0,10,0.772896934,7.72896934,61,3.9,2792,jsonpath-rw-1.4.0,7,5.90E-05,0.00183,4,7.209656447
fpdf,0,10,0.773364021,7.73364021,61,3.9,7879,fpdf-1.7.2,2,4.70E-05,0.00091,1,7.211213403
robotframework-jsonlibrary,0,10,0.671641247,6.71641247,61,3.9,4869,robotframework-jsonlibrary-0.5,4,3.80E-05,0.00046,23,6.87213749
slacker,0,10,0.674742393,6.74742393,61,3.9,13176,slacker-0.14.0,2,4.50E-05,0.00048,28,6.882474643
validate-email,0,10,0.710492295,7.10492295,61,3.9,3235,validate-email-1.3,5,6.90E-05,0.00235,1,7.001640983
