Package,OpenSSF_SS,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
pybreaker,3.84,6.16,0.765014587,7.65014587,74,2.6,8416,pybreaker-1.0.1,1,3.80E-05,0.00046,1,5.470048623
tox-gh-actions,3.78,6.22,0.698813772,6.98813772,74,2.6,11564,tox-gh-actions-3.1.0,2,4.10E-05,0.00046,15,5.26937924
praat-parselmouth,3.78,6.22,0.653559089,6.53559089,74,2.6,5104,praat-parselmouth-0.4.3,2,3.80E-05,0.00046,2,5.118530297
habanero,3.78,6.22,0.774241575,7.74241575,74,2.6,9555,habanero-1.2.3,3,3.70E-05,0.00046,29,5.52080525
sudachipy,3.76,6.24,0.710139807,7.10139807,74,2.6,10595,sudachipy-0.5.4,5,0.000114,0.00142,4,5.313799357
colander,3.73,6.27,0.853475272,8.53475272,74,2.6,2969,colander-2.0,4,5.00E-05,0.00098,3,5.80158424
whatthepatch,3.65,6.35,0.703835479,7.03835479,74,2.6,12761,whatthepatch-1.0.4,1,6.50E-05,0.00046,1,5.329451597
colorlog,3.59,6.41,0.745257102,7.45257102,74,2.6,209,colorlog-6.6.0,3,4.70E-05,0.00137,1,5.487523673
itemloaders,3.54,6.46,0.736808549,7.36808549,74,2.6,1527,itemloaders-1.0.6,6,4.10E-05,0.001,8,5.476028497
haversine,3.51,6.49,0.755139787,7.55139787,74,2.6,4107,haversine-2.8.0,1,4.20E-05,0.00046,1,5.547132623
publicsuffixlist,3.51,6.49,0.806537939,8.06537939,74,2.6,3523,publicsuffixlist-0.9.4,3,4.70E-05,0.00137,1,5.718459797
hologram,3.46,6.54,0.644190876,6.44190876,74,2.6,8558,hologram-0.0.16,2,3.50E-05,0,19,5.193969587
polib,3.38,6.62,0.757345217,7.57345217,74,2.6,4562,polib-1.2.0,1,6.50E-05,0.00046,1,5.59781739
atlassian-jwt-auth,3.35,6.65,0.767981805,7.67981805,74,2.6,635,atlassian-jwt-auth-17.0.0,4,5.00E-05,0.00046,33,5.643272683
aiormq,3.35,6.65,0.608508499,6.08508499,74,2.6,870,aiormq-6.4.2,3,5.80E-05,0.00059,9,5.111694997
circuitbreaker,3.35,6.65,0.639225963,6.39225963,74,2.6,9996,circuitbreaker-1.4.0,1,4.00E-05,0.00048,1,5.214086543
snakeviz,3.35,6.65,0.685235515,6.85235515,74,2.6,13494,snakeviz-2.1.1,2,5.00E-05,0.00046,2,5.367451717
elementpath,3.3,6.7,0.643705198,6.43705198,74,2.6,6214,elementpath-4.1.1,3,7.40E-05,0.00144,1,5.245683993
ffmpy,3.22,6.78,0.790608291,7.90608291,74,2.6,6443,ffmpy-0.3.0,2,3.80E-05,0.00094,1,5.762027637
retry,2.41,7.59,0.811239802,8.11239802,74,2.6,161,retry-0.9.2,14,0.00011,0.00573,3,6.10079934
trie,2.22,7.78,0.680340061,6.80340061,74,2.6,12469,trie-2.1.0,6,3.80E-05,0.00048,11,5.727800203
dataclasses,2.05,7.95,0.780690843,7.80690843,74,2.6,2803,dataclasses-0.6,12,0.000155,0.00557,1,6.118969477
radon,1.89,8.11,0.777430447,7.77430447,74,2.6,3631,radon-4.5.0,4,3.60E-05,0.00046,5,6.161434823
pyautogui,0,10,0.748294052,7.48294052,74,2.6,2218,pyautogui-0.9.53,11,8.70E-05,0.00229,9,6.694313507
fixtures,0,10,0.774022454,7.74022454,74,2.6,3468,fixtures-4.0.1,3,6.60E-05,0.00103,2,6.780074847
jupyter-contrib-nbextensions,0,10,0.708736527,7.08736527,74,2.6,3829,jupyter-contrib-nbextensions-0.7.0,11,3.60E-05,0.00046,74,6.56245509
fortnitepy,0,10,0.666419475,6.66419475,74,2.6,13418,fortnitepy-3.6.8,3,4.00E-05,0.00046,43,6.42139825
google-search-results,0,10,0.780160158,7.80160158,74,2.6,2698,google-search-results-2.4.2,1,3.50E-05,0,28,6.80053386
events,0,10,0.651184651,6.51184651,74,2.6,9565,events-0.4,4,5.80E-05,0.00183,1,6.370615503
django-haystack,0,10,0.688572416,6.88572416,74,2.6,438,django-haystack-3.2.1,2,4.50E-05,0.00046,5,6.495241387
simpy,0,10,0.717180499,7.17180499,74,2.6,6517,simpy-4.0.1,2,4.70E-05,0.00091,1,6.590601663
pingouin,0,10,0.74656162,7.4656162,74,2.6,3765,pingouin-0.5.3,11,3.90E-05,0.00046,134,6.688538733
hdx-python-utilities,0,10,0.668477021,6.68477021,74,2.6,1623,hdx-python-utilities-3.5.8,13,4.70E-05,0.00048,94,6.428256737
grad-cam,0,10,0.771768214,7.71768214,74,2.6,7967,grad-cam-1.4.6,9,3.50E-05,0,100,6.772560713
defusedxml,6.84,3.16,0.934873627,9.34873627,75,2.5,485,defusedxml-0.7.1,34,0.000465,0.0176,1,5.00291209
backports-functools-lru-cache,4.89,5.11,0.780299059,7.80299059,75,2.5,4286,backports-functools-lru-cache-1.6.4,3,5.30E-05,0.00139,1,5.13766353
persistent,4.51,5.49,0.554681496,5.54681496,75,2.5,1926,persistent-5.0,17,0.000188,0.00786,6,4.512271653
blosc,4.46,5.54,0.638203263,6.38203263,75,2.5,1431,blosc2-2.0.0,2,5.30E-05,0.00082,2,4.80734421
zodbpickle,4.35,5.65,0.672341041,6.72341041,75,2.5,1929,zodbpickle-3.0.1,2,4.50E-05,0.00073,2,4.95780347
asyncstdlib,4.11,5.89,0.663298525,6.63298525,75,2.5,11482,asyncstdlib-3.10.6,1,4.20E-05,0.00046,1,5.00766175
cfgrib,3.95,6.05,0.624604368,6.24604368,75,2.5,10914,cfgrib-0.9.10.3,8,4.70E-05,0.00137,10,4.93201456
pyfaidx,3.89,6.11,0.728663293,7.28663293,75,2.5,3882,pyfaidx-0.7.2.1,6,4.90E-05,0.00194,3,5.298877643
ipyevents,3.86,6.14,0.77305628,7.7305628,75,2.5,5006,ipyevents-2.0.1,3,3.90E-05,0.00096,40,5.456854267
graphframes,3.78,6.22,0.617293539,6.17293539,75,2.5,11223,graphframes-0.6,2,3.50E-05,0,3,4.964311797
pathvalidate,3.78,6.22,0.792662533,7.92662533,75,2.5,4764,pathvalidate-2.5.2,5,5.60E-05,0.00235,1,5.54887511
dependency-injector,3.68,6.32,0.545484215,5.45484215,75,2.5,1451,dependency-injector-4.20.2,2,3.70E-05,0.00046,2,4.758280717
blis,3.59,6.41,0.758225791,7.58225791,75,2.5,1394,blis-0.7.9,5,4.30E-05,0.0015,3,5.497419303
gspread-pandas,3.59,6.41,0.76740652,7.6740652,75,2.5,12226,gspread-pandas-3.2.2,5,3.50E-05,0,63,5.528021733
pyahocorasick,3.46,6.54,0.613519146,6.13519146,75,2.5,5875,pyahocorasick-2.0.0,2,4.20E-05,0.00094,1,5.058397153
chart-studio,3.24,6.76,0.654365499,6.54365499,75,2.5,9136,chart-studio-1.1.0,5,3.70E-05,0.00048,37,5.267884997
python-decouple,3.22,6.78,0.750972652,7.50972652,75,2.5,2469,python-decouple-3.8,2,5.00E-05,0.00091,1,5.596575507
funcy,3.14,6.86,0.751538938,7.51538938,75,2.5,1476,funcy-2.0,10,8.30E-05,0.00466,1,5.625129793
parsy,3.14,6.86,0.777929266,7.77929266,75,2.5,8075,parsy-1.4.0,1,3.70E-05,0.00046,1,5.713097553
altgraph,3.03,6.97,0.648632331,6.48632331,75,2.5,2767,altgraph-0.17.3,2,6.10E-05,0.00098,1,5.318774437
readchar,2.97,7.03,0.760558739,7.60558739,75,2.5,1311,readchar-4.0.5,11,0.000126,0.00482,2,5.711862463
strictyaml,2.97,7.03,0.671641247,6.71641247,75,2.5,5740,strictyaml-1.7.3,4,4.40E-05,0.00137,4,5.415470823
ghapi,2.97,7.03,0.671641247,6.71641247,75,2.5,3480,ghapi-1.0.3,7,8.90E-05,0.00137,5,5.415470823
pyserial,2.76,7.24,0.575906728,5.75906728,75,2.5,1318,pyserial-3.5,57,0.001117,0.02682,1,5.16635576
types-awscrt,0,10,0.758317198,7.58317198,75,2.5,11678,types-awscrt-0.16.14,2,0.000108,0.00096,1,6.69439066
pytest-doctestplus,0,10,0.744036139,7.44036139,75,2.5,11491,pytest-doctestplus-0.12.1,4,3.80E-05,0.00046,12,6.64678713
httpie-edgegrid,0,10,0.77332306,7.7332306,75,2.5,4127,httpie-edgegrid-2.1.1,3,3.50E-05,0,55,6.7444102
traceml,0,10,0.646818268,6.46818268,75,2.5,6973,traceml-1.0.8,3,7.20E-05,0.00142,1,6.32272756
fanstatic,0,10,0.625700035,6.25700035,75,2.5,5663,fanstatic-1.3,6,9.10E-05,0.0019,3,6.25233345
cwl-upgrader,4.95,5.05,0.792934246,7.92934246,76,2.4,9935,cwl-upgrader-1.2.4,4,4.00E-05,0.00048,41,5.126447487
asteval,4.89,5.11,0.756814625,7.56814625,76,2.4,3945,asteval-0.9.29,2,4.70E-05,0.00098,1,5.02604875
itables,4.76,5.24,0.792699301,7.92699301,76,2.4,3827,itables-1.4.5,4,3.60E-05,0.00046,25,5.18899767
htbuilder,4.65,5.35,0.685121156,6.85121156,76,2.4,9634,htbuilder-0.6.1,1,3.50E-05,0,2,4.86707052
types-click,4.57,5.43,0.548942808,5.48942808,76,2.4,2155,types-click-7.1.8,1,4.10E-05,0.00046,1,4.43980936
gocardless-pro,4.57,5.43,0.752663225,7.52663225,76,2.4,6362,gocardless-pro-1.42.0,2,3.50E-05,0,29,5.118877417
python-liquid,4.32,5.68,0.673379394,6.73379394,76,2.4,7815,python-liquid-1.8.1,3,4.10E-05,0.00046,5,4.937931313
uritools,4.27,5.73,0.733027542,7.33027542,76,2.4,10778,uritools-4.0.1,1,4.20E-05,0.0005,1,5.15342514
python-hosts,4.24,5.76,0.782704091,7.82704091,76,2.4,3489,python-hosts-1.0.3,1,4.50E-05,0.00046,1,5.329013637
getmac,4.14,5.86,0.671641247,6.71641247,76,2.4,60,getmac-0.9.3,2,6.50E-05,0.00091,1,4.99213749
mkdocs-material-extensions,4.08,5.92,0.699629291,6.99629291,76,2.4,6610,mkdocs-material-extensions-1.1.1,5,7.80E-05,0.00233,1,5.10543097
click-option-group,4.03,5.97,0.786570262,7.86570262,76,2.4,2551,click-option-group-0.5.5,4,4.00E-05,0.00139,2,5.411900873
zopfli,4,6,0.703968313,7.03968313,76,2.4,3026,zopfli-0.2.2,1,0.000148,0.00135,1,5.146561043
isodate,3.92,6.08,0.626133602,6.26133602,76,2.4,740,isodate-0.6.1,27,0.000384,0.01321,2,4.913778673
faiss-cpu,3.92,6.08,0.688459329,6.88459329,76,2.4,10560,faiss-cpu-1.7.3,1,4.10E-05,0.00046,1,5.121531097
httpstan,3.84,6.16,0.648111404,6.48111404,76,2.4,1443,httpstan-4.9.1,6,3.50E-05,0,36,5.01370468
pylast,3.84,6.16,0.604599035,6.04599035,76,2.4,10419,pylast-5.1.0,2,5.00E-05,0.00046,13,4.86866345
djangorestframework-dataclasses,3.78,6.22,0.67500072,6.7500072,76,2.4,8569,djangorestframework-dataclasses-1.2.0,3,4.50E-05,0.00046,9,5.123335733
enlighten,3.78,6.22,0.666765782,6.66765782,76,2.4,7019,enlighten-1.11.2,3,4.20E-05,0.00046,5,5.09588594
zconfig,3.78,6.22,0.674112016,6.74112016,76,2.4,1928,zconfig-3.6.1,6,7.50E-05,0.00315,1,5.120373387
wsaccel,3.76,6.24,0.720934428,7.20934428,76,2.4,9572,wsaccel-0.6.2,1,3.80E-05,0.00046,1,5.28311476
honeycomb-beeline,3.7,6.3,0.743933374,7.43933374,76,2.4,2138,honeycomb-beeline-3.5.1,4,6.50E-05,0.00091,31,5.379777913
makefun,3.68,6.32,0.647934475,6.47934475,76,2.4,1618,makefun-1.15.1,3,4.70E-05,0.00155,1,5.06644825
grpc-stubs,3.62,6.38,0.768073142,7.68073142,76,2.4,1701,grpc-stubs-1.53.0.1,5,7.30E-05,0.00187,2,5.486910473
yappi,3.59,6.41,0.678600111,6.78600111,76,2.4,13123,yappi-1.4.0,1,3.70E-05,0.0005,1,5.198667037
plaster-pastedeploy,3.59,6.41,0.809354875,8.09354875,76,2.4,2974,plaster-pastedeploy-1.0.1,3,5.60E-05,0.00077,3,5.63451625
httpx-auth,3.57,6.43,0.9346838,9.346838,76,2.4,2332,httpx-auth-0.15.0,1,3.50E-05,0,12,6.058946
netmiko,3.54,6.46,0.678841051,6.78841051,76,2.4,3216,netmiko-4.1.2,10,7.90E-05,0.00091,21,5.216136837
hmmlearn,3.38,6.62,0.605085399,6.05085399,76,2.4,7196,hmmlearn-0.2.8,4,4.20E-05,0.00046,14,5.023617997
msoffcrypto-tool,3.16,6.84,0.786197967,7.86197967,76,2.4,1892,msoffcrypto-tool-5.0.1,3,3.70E-05,0.00055,6,5.70065989
pandocfilters,3.05,6.95,0.749316962,7.49316962,76,2.4,490,pandocfilters-1.5.0,5,5.00E-05,0.00287,1,5.614389873
hpack,3.05,6.95,0.75988039,7.5988039,76,2.4,922,hpack-4.0.0,1,0.000183,0.00088,1,5.6496013
hexbytes,3.03,6.97,0.778165779,7.78165779,76,2.4,94,hexbytes-0.3.0,18,0.000126,0.00899,1,5.717219263
semantic-version,2.97,7.03,0.692931909,6.92931909,76,2.4,2560,semantic-version-2.10.0,11,0.000113,0.00533,1,5.453106363
gdown,2.97,7.03,0.761759001,7.61759001,76,2.4,1032,gdown-4.7.1,14,0.000103,0.00414,34,5.682530003
jupyterlab-pygments,2.86,7.14,0.787011077,7.87011077,76,2.4,486,jupyterlab-pygments-0.2.2,2,4.30E-05,0.00137,1,5.803370257
msrest,2.68,7.32,0.612067897,6.12067897,76,2.4,6703,msrest-0.7.1,7,6.10E-05,0.001,42,5.280226323
msrestazure,2.68,7.32,0.626316327,6.26316327,76,2.4,6702,msrestazure-0.6.4,5,4.10E-05,0.00091,46,5.32772109
lithium-reducer,2.38,7.62,0.780393266,7.80393266,76,2.4,9110,lithium-reducer-0.6.2,1,3.90E-05,0.00046,1,5.941310887
querystring-parser,2.22,7.78,0.791661096,7.91661096,76,2.4,6827,querystring-parser-1.2.4,4,4.40E-05,0.00142,2,6.032203653
ordered-set,2.22,7.78,0.64227533,6.4227533,76,2.4,1515,ordered-set-4.1.0,9,0.000141,0.00448,1,5.5342511
python-pptx,2.22,7.78,0.791386215,7.91386215,76,2.4,7896,python-pptx-0.6.21,4,3.90E-05,0.00048,4,6.031287383
inflection,2.14,7.86,0.770302658,7.70302658,76,2.4,216,inflection-0.5.1,18,0.000201,0.00864,1,5.987675527
pickleshare,2.05,7.95,0.777251917,7.77251917,76,2.4,475,pickleshare-0.7.5,8,9.80E-05,0.00558,1,6.040839723
imagesize,1.89,8.11,0.768031625,7.68031625,76,2.4,1226,imagesize-1.4.1,15,0.0001,0.00804,1,6.06343875
humanfriendly,0,10,0.756687242,7.56687242,76,2.4,2866,humanfriendly-10.0,9,0.000276,0.00474,1,6.65562414
docopt,0,10,0.754159481,7.54159481,76,2.4,221,docopt-0.6.2,110,0.00139,0.05128,1,6.64719827
ratelimit,0,10,0.663913118,6.63913118,76,2.4,1629,ratelimit-2.2.1,8,9.10E-05,0.00372,1,6.34637706
pydub,0,10,0.671641247,6.71641247,76,2.4,1882,pydub-0.25.1,5,8.20E-05,0.0024,1,6.37213749
cliff,0,10,0.591782514,5.91782514,76,2.4,1058,cliff-4.2.0,23,8.70E-05,0.00634,18,6.105941713
stdlib-list,0,10,0.709881516,7.09881516,76,2.4,9841,stdlib-list-0.8.0,1,3.70E-05,0.00046,1,6.499605053
spacy-transformers,0,10,0.554498727,5.54498727,76,2.4,4356,spacy-transformers-1.1.7,6,4.10E-05,0.00048,176,5.981662423
grimp,0,10,0.664988017,6.64988017,76,2.4,12191,grimp-2.3,1,3.50E-05,0,2,6.349960057
plaster,0,10,0.805602846,8.05602846,76,2.4,2973,plaster-1.1.2,2,8.00E-05,0.00126,1,6.818676153
hyperpyyaml,0,10,0.83650795,8.3650795,76,2.4,9367,hyperpyyaml-1.2.0,2,3.50E-05,0,4,6.921693167
dbus-fast,0,10,0.642201275,6.42201275,76,2.4,3349,dbus-fast-1.84.2,4,9.60E-05,0.00155,2,6.27400425
clvm-tools-rs,0,10,0.63244418,6.3244418,76,2.4,5031,clvm-tools-rs-0.1.30,2,5.80E-05,0.00094,1,6.2414806
psygnal,0,10,0.787258229,7.87258229,76,2.4,6270,psygnal-0.9.0,4,4.50E-05,0.00096,3,6.75752743
hatch-nodejs-version,0,10,0.6627666,6.627666,76,2.4,11148,hatch-nodejs-version-0.3.1,1,3.50E-05,0,8,6.342555333
pyasn,0,10,0.774367131,7.74367131,76,2.4,141,pyasn1-0.4.8,37,0.001454,0.02102,1,6.714557103
eccodes,0,10,0.629899084,6.29899084,76,2.4,10915,eccodes-1.5.2,7,4.50E-05,0.00098,8,6.232996947
casadi,0,10,0.671641247,6.71641247,76,2.4,3680,casadi-3.6.0,3,5.40E-05,0.00094,2,6.37213749
hdx-python-country,0,10,0.668818858,6.68818858,76,2.4,1617,hdx-python-country-3.4.8,4,4.10E-05,0.00052,118,6.362729527
leidenalg,0,10,0.64594811,6.4594811,76,2.4,4006,leidenalg-0.9.1,3,4.20E-05,0.00091,3,6.2864937
path,5.14,4.86,0.898719747,8.98719747,77,2.3,4540,path-16.6.0,1,0.00015,0.00068,1,5.382399157
param,4.73,5.27,0.604805672,6.04805672,77,2.3,6242,param-1.13.0,7,0.000201,0.00359,1,4.53935224
python-sonarqube-api,4.68,5.32,0.762477543,7.62477543,77,2.3,11889,python-sonarqube-api-1.2.1,2,4.20E-05,0.00046,21,5.08159181
cssutils,4.57,5.43,0.743423244,7.43423244,77,2.3,952,cssutils-2.6.0,5,7.30E-05,0.00235,1,5.054744147
funcx-common,4.51,5.49,0.793814512,7.93814512,77,2.3,10632,funcx-common-0.0.25,2,3.90E-05,0.00048,11,5.24271504
sanic-ext,4.49,5.51,0.633465331,6.33465331,77,2.3,6219,sanic-ext-23.3.0,3,4.30E-05,0.00091,2,4.714884437
branca,4.38,5.62,0.620416509,6.20416509,77,2.3,2841,branca-0.6.0,5,5.90E-05,0.00207,6,4.70805503
lru-dict,4.24,5.76,0.641359104,6.41359104,77,2.3,96,lru-dict-1.1.8,18,0.000101,0.00907,1,4.824530347
xarray-einstats,4.14,5.86,0.738646245,7.38646245,77,2.3,7202,xarray-einstats-0.5.1,8,4.10E-05,0.00098,107,5.18215415
corner,4.08,5.92,0.885047731,8.85047731,77,2.3,3554,corner-2.2.2,4,4.30E-05,0.00144,29,5.690159103
requests-mock,4.05,5.95,0.742750299,7.42750299,77,2.3,8466,requests-mock-1.10.0,4,6.40E-05,0.00094,29,5.22583433
soundfile,4.03,5.97,0.6792456,6.792456,77,2.3,2621,soundfile-0.12.1,9,6.80E-05,0.00377,4,5.020818667
daphne,3.95,6.05,0.72670548,7.2670548,77,2.3,1194,daphne-2.5.0,4,4.80E-05,0.00048,26,5.205684933
dask-ml,3.95,6.05,0.581198768,5.81198768,77,2.3,9032,dask-ml-2023.3.24,11,3.70E-05,0.00046,110,4.72066256
hydra-colorlog,3.95,6.05,0.721440798,7.21440798,77,2.3,9808,hydra-colorlog-1.2.0,2,3.50E-05,0,7,5.188135993
pyftdi,3.92,6.08,0.609532024,6.09532024,77,2.3,4748,pyftdi-0.54.0,5,0.000184,0.00195,3,4.825106747
cfgv,3.78,6.22,0.661627233,6.61627233,77,2.3,3015,cfgv-3.3.1,7,6.80E-05,0.00335,1,5.04542411
jq,3.78,6.22,0.603958819,6.03958819,77,2.3,4591,jq-1.4.1,2,4.00E-05,0.00091,1,4.853196063
alive-progress,3.78,6.22,0.793236768,7.93236768,77,2.3,5207,alive-progress-3.1.1,4,4.30E-05,0.00096,3,5.48412256
freetype-py,3.76,6.24,0.630423647,6.30423647,77,2.3,1138,freetype-py-2.3.0,4,5.70E-05,0.00196,1,4.948078823
google-cloud-access-context-manager,3.76,6.24,0.775098041,7.75098041,77,2.3,4791,google-cloud-access-context-manager-0.1.16,3,3.90E-05,0.00046,50,5.430326803
pytest-timeout,3.7,6.3,0.749018432,7.49018432,77,2.3,8582,pytest-timeout-2.1.0,2,3.70E-05,0.00046,11,5.363394773
graphql-core,3.65,6.35,0.609022286,6.09022286,77,2.3,1093,graphql-core-3.2.3,26,0.000609,0.01288,1,4.91340762
pytrends,3.65,6.35,0.724942069,7.24942069,77,2.3,4787,pytrends-4.9.2,5,4.50E-05,0.00091,40,5.299806897
editables,3.54,6.46,0.684086472,6.84086472,77,2.3,2986,editables-0.3,1,6.70E-05,0.00068,1,5.20028824
backoff,3.51,6.49,0.745839577,7.45839577,77,2.3,1665,backoff-2.2.1,19,0.00018,0.00933,1,5.416131923
selenium-wire,3.51,6.49,0.683282895,6.83282895,77,2.3,4461,selenium-wire-5.1.0,14,4.20E-05,0.00046,36,5.20760965
tld,3.49,6.51,0.693397225,6.93397225,77,2.3,4485,tld-0.9.3,2,4.20E-05,0.00046,2,5.24799075
jiwer,3.46,6.54,0.786388069,7.86388069,77,2.3,7593,jiwer-2.6.0,3,4.10E-05,0.00046,3,5.56796023
spacy-loggers,3.38,6.62,0.713739828,7.13739828,77,2.3,1390,spacy-loggers-1.0.4,2,4.70E-05,0.0014,1,5.352466093
tuspy,3.38,6.62,0.693009023,6.93009023,77,2.3,4811,tuspy-1.0.0,6,4.50E-05,0.00048,49,5.28336341
django-solo,3.35,6.65,0.61431502,6.1431502,77,2.3,5554,django-solo-2.0.0,2,3.80E-05,0.00046,5,5.031050067
py-cpuinfo,3.3,6.7,0.766456127,7.66456127,77,2.3,1433,py-cpuinfo-9.0.0,8,9.00E-05,0.0041,1,5.554853757
workalendar,3.22,6.78,0.633957657,6.33957657,77,2.3,3134,workalendar-17.0.0,6,4.40E-05,0.00091,8,5.139858857
tbump,3.14,6.86,0.692968387,6.92968387,77,2.3,3408,tbump-6.9.0,5,4.20E-05,0.00048,9,5.363227957
eradicate,3.03,6.97,0.638618758,6.38618758,77,2.3,3636,eradicate-2.2.0,2,5.60E-05,0.00096,1,5.218729193
diff-match-patch,2.97,7.03,0.957075661,9.57075661,77,2.3,1907,diff-match-patch-20200713,5,6.60E-05,0.00233,1,6.300252203
pyaml,2.7,7.3,0.777336254,7.77336254,77,2.3,1513,pyaml-21.10.1,12,0.00011,0.00521,2,5.791120847
appdirs,2.46,7.54,0.888058864,8.88058864,77,2.3,413,appdirs-1.4.4,113,0.000923,0.05338,1,6.240196213
inject,2.38,7.62,0.76096678,7.6096678,77,2.3,4932,inject-4.3.1,1,4.20E-05,0.00046,1,5.8432226
loky,2.22,7.78,0.760291568,7.60291568,77,2.3,5039,loky-2.9.0,2,3.80E-05,0.00046,2,5.894305227
eth-hash,2.14,7.86,0.627676632,6.27676632,77,2.3,91,eth-hash-0.5.1,11,0.000197,0.0049,3,5.478922107
coloredlogs,0,10,0.764199309,7.64199309,77,2.3,3157,coloredlogs-15.0.1,24,0.000157,0.01078,2,6.64733103
flask-session,0,10,0.793616364,7.93616364,77,2.3,10382,flask-session-0.4.0,5,4.70E-05,0.00139,12,6.74538788
bottle,0,10,0.671641247,6.71641247,77,2.3,1678,bottle-0.12.25,17,0.00025,0.00793,1,6.338804157
webob,0,10,0.632476384,6.32476384,77,2.3,1673,webob-1.8.7,22,0.000309,0.01093,1,6.208254613
svglib,0,10,0.674893175,6.74893175,77,2.3,10777,svglib-1.5.1,5,3.90E-05,0.00048,7,6.349643917
anytree,0,10,0.761463061,7.61463061,77,2.3,1265,anytree-2.8.0,13,0.00011,0.00553,2,6.638210203
jupyter-server-ydoc,0,10,0.627052631,6.27052631,77,2.3,2255,jupyter-server-ydoc-0.8.0,4,4.30E-05,0.00063,74,6.190175437
robotframework-pabot,0,10,0.740450452,7.40450452,77,2.3,4870,robotframework-pabot-2.15.0,4,3.80E-05,0.00046,4,6.568168173
pytools,0,10,0.812442757,8.12442757,77,2.3,8848,pytools-2022.1.14,14,0.00019,0.00596,3,6.808142523
sudachidict-full,0,10,0.70748233,7.0748233,77,2.3,10594,sudachidict-full-20210608,2,4.20E-05,0.00046,5,6.458274433
guessit,0,10,0.752072344,7.52072344,77,2.3,5185,guessit-3.7.1,4,4.20E-05,0.00046,6,6.606907813
python-gvm,5.78,4.22,0.611608049,6.11608049,78,2.2,10896,python-gvm-23.4.0,4,6.50E-05,0.00046,11,4.178693497
idna,5.27,4.73,0.638660348,6.38660348,78,2.2,34,idna-3.4,41,0.003475,0.077516,1,4.438867827
singledispatch,5.14,4.86,0.699763132,6.99763132,78,2.2,1206,singledispatch-4.0.0,8,9.40E-05,0.00383,1,4.685877107
pendulum,4.89,5.11,0.696941211,6.96941211,78,2.2,206,pendulum-2.1.2,28,0.0002,0.01229,5,4.759804037
xsdata,4.76,5.24,0.70645559,7.0645559,78,2.2,10417,xsdata-22.12,1,5.20E-05,0.00048,1,4.834851967
jaraco-classes,4.73,5.27,0.64858105,6.4858105,78,2.2,195,jaraco-classes-3.2.3,5,0.000109,0.00242,2,4.651936833
pyvisa,4.73,5.27,0.593845803,5.93845803,78,2.2,3979,pyvisa-1.13.0,4,5.80E-05,0.00139,2,4.46948601
outcome,4.57,5.43,0.799073753,7.99073753,78,2.2,1569,outcome-1.2.0,5,9.50E-05,0.00172,3,5.20691251
mechanicalsoup,4.57,5.43,0.603915889,6.03915889,78,2.2,415,mechanicalsoup-1.2.0,7,8.50E-05,0.00196,32,4.556386297
rsa,4.54,5.46,0.742677869,7.42677869,78,2.2,421,rsa-4.9,18,0.000555,0.01261,2,5.02892623
torch-geometric,4.49,5.51,0.569653534,5.69653534,78,2.2,7974,torch-geometric-2.3.0,12,7.10E-05,0.00183,49,4.468845113
py-spy,4.46,5.54,0.607901681,6.07901681,78,2.2,371,py-spy-0.3.14,1,3.60E-05,0.00059,1,4.606338937
oscrypto,4.41,5.59,0.774500864,7.74500864,78,2.2,4376,oscrypto-1.3.0,4,6.90E-05,0.00148,2,5.178336213
vine,4.41,5.59,0.686072009,6.86072009,78,2.2,3524,vine-5.0.0,6,0.000198,0.00313,1,4.883573363
pyvisa-py,4.41,5.59,0.609467438,6.09467438,78,2.2,3978,pyvisa-py-0.6.3,3,3.80E-05,0.00046,3,4.628224793
grafana-client,4.41,5.59,0.751499292,7.51499292,78,2.2,2791,grafana-client-3.5.0,2,3.70E-05,0.00046,28,5.101664307
pot,4.27,5.73,0.590622189,5.90622189,78,2.2,7109,pot-0.9.0,5,4.10E-05,0.00091,9,4.612073963
decorator,4.16,5.84,0.7537292,7.537292,78,2.2,165,decorator-5.1.1,62,0.000888,0.03326,1,5.192430667
glom,4.05,5.95,0.767553483,7.67553483,78,2.2,2554,glom-22.1.0,5,3.70E-05,0.00094,5,5.275178277
feedparser,3.92,6.08,0.589641365,5.89641365,78,2.2,2490,feedparser-6.0.10,22,0.000287,0.00975,2,4.725471217
av,3.92,6.08,0.811996357,8.11996357,78,2.2,2617,av-10.0.0,2,4.90E-05,0.00091,1,5.466654523
json-tricks,3.92,6.08,0.786223059,7.86223059,78,2.2,353,json-tricks-3.16.1,5,6.50E-05,0.00233,1,5.38074353
google-cloud-appengine-admin,3.92,6.08,0.779933551,7.79933551,78,2.2,6401,google-cloud-appengine-admin-1.9.2,3,3.50E-05,0,51,5.359778503
python-logstash-async,3.86,6.14,0.75833664,7.5833664,78,2.2,5399,python-logstash-async-1.4.1,3,5.00E-05,0.00046,9,5.3077888
google-cloud-filestore,3.84,6.16,0.804444361,8.04444361,78,2.2,7876,google-cloud-filestore-1.6.0,4,3.50E-05,0,52,5.46814787
google-cloud-org-policy,3.84,6.16,0.779939298,7.79939298,78,2.2,4792,google-cloud-org-policy-1.8.1,4,3.90E-05,0.00046,51,5.386464327
