Package,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
google-cloud-batch,6.27,0.799077981,7.99077981,93,0.7,5520,google-cloud-batch-0.10.0,3,3.50E-05,0,51,4.986926603
google-cloud-functions,6.27,0.77691577,7.7691577,93,0.7,9751,google-cloud-functions-1.12.0,4,3.50E-05,0,52,4.913052567
google-cloud-billing,6.27,0.779580041,7.79580041,93,0.7,1861,google-cloud-billing-1.10.1,4,3.50E-05,0,52,4.92193347
google-cloud-dialogflow,6.27,0.748201867,7.48201867,93,0.7,2270,google-cloud-dialogflow-2.21.0,3,3.50E-05,0,51,4.817339557
google-cloud-notebooks,6.27,0.782560894,7.82560894,93,0.7,3739,google-cloud-notebooks-1.6.1,6,3.90E-05,0.00046,52,4.931869647
google-cloud-documentai,6.27,0.762858654,7.62858654,93,0.7,1297,google-cloud-documentai-2.15.0,4,4.10E-05,0.00046,51,4.866195513
google-cloud-bigquery-reservation,6.27,0.763335537,7.63335537,93,0.7,10834,google-cloud-bigquery-reservation-1.11.1,3,3.50E-05,0,51,4.867785123
matplotlib,6.24,0.396813469,3.96813469,94,0.6,1,matplotlib-3.7.1,655,0.004566,0.303955,28,3.602711563
structlog,6.24,0.639746224,6.39746224,93,0.7,1639,structlog-23.1.0,10,0.000124,0.00473,1,4.445820747
tables,6.24,0.625031466,6.25031466,94,0.6,1430,tables-3.8.0,23,0.000151,0.00754,9,4.36343822
pillow,6.19,0.390081507,3.90081507,97,0.3,12,pillow-9.5.0,268,0.002966,0.143346,1,3.463605023
tensorflow-io-gcs-filesystem,6.16,0.6379584,6.379584,94,0.6,685,tensorflow-io-gcs-filesystem-0.32.0,2,5.30E-05,0.002,1,4.379861333
gvm-tools,6.16,0.614065304,6.14065304,81,1.9,10895,gvm-tools-23.3.0,1,3.50E-05,0,12,4.733551013
yarl,6.11,0.580524187,5.80524187,90,1,66,yarl-1.8.2,44,0.000646,0.02443,7,4.305080623
redis,6.05,0.790196394,7.90196394,94,0.6,439,redis-4.5.4,53,0.00066,0.02387,3,4.850654647
black,6.05,0.502538595,5.02538595,100,0,3045,black-23.3.0,20,0.000144,0.00649,7,3.691795317
cachetools,6,0.775973642,7.75973642,87,1.3,621,cachetools-5.3.0,35,0.000457,0.01859,1,5.01991214
azure-core,6,0.411453435,4.11453435,96,0.4,751,azure-core-1.26.4,15,0.000161,0.00606,30,3.504844783
