Id,Label,Degree,Pageranks,Eigencentrality
220,heka-py-0.30.3,5,0.000094,0.00137
221,docopt-0.6.2,110,0.001390,0.05128
222,html-jumping-0.2.4,1,0.000035,0.00000
223,hy-0.26.0,17,0.000422,0.00740
224,funcparserlib-1.0.1,4,0.000458,0.00229
225,html2json-0.2.4.1,2,0.000035,0.00000
226,pyquery-2.0.0,12,0.000177,0.00475
227,cssselect-1.2.0,23,0.000317,0.01125
228,lxml-4.9.2,291,0.003007,0.13769
229,graphslib-0.0.5,1,0.000035,0.00000
230,typing-3.7.4.3,27,0.000367,0.01250
231,guilded-webhook-0.3.0,2,0.000035,0.00000
232,gnucash-ch-filing-0.2.1,2,0.000035,0.00000
233,grg-mp2grg-0.1.2,2,0.000035,0.00000
234,grg-grgdata-0.2.4,4,0.000065,0.00091
235,grg-mpdata-0.1.1,1,0.000050,0.00046
236,helloworld-ashcoder-0.0.1,1,0.000035,0.00000
237,blessings-1.7,20,0.000504,0.00882
238,html-sanitizer-with-iframe-0.1.0,1,0.000035,0.00000
239,html5lib-1.1,44,0.000455,0.01969
240,green-magic-0.5.6,5,0.000035,0.00000
241,nltk-3.8.1,37,0.000379,0.01526
242,sklearn-0.0.post4,52,0.000299,0.02397
243,somoclu-1.7.6,4,0.000041,0.00046
244,joblib-1.2.0,83,0.000723,0.04613
245,glassknife-0.1.0,3,0.000035,0.00000
246,pydantic-1.10.7,155,0.001503,0.07040
247,pyyaml-5.4.1,47,0.000503,0.02193
248,xdg-5.1.1,3,0.000054,0.00137
249,typing-extensions-4.5.0,267,0.004811,0.14449
250,email-validator-2.0.0.post1,7,0.000265,0.00612
251,email-validator-2.0.0,4,0.000253,0.00437
252,python-dotenv-1.0.0,31,0.000391,0.01831
253,email-validator-1.3.1,8,0.000250,0.00632
254,python-dotenv-0.21.1,8,0.000250,0.00760
255,typing-extensions-4.4.0,3,0.000220,0.00470
256,hexlet-code-dddarknight-0.1.0,1,0.000035,0.00000
257,prompt-0.4.1,1,0.000065,0.00046
258,guangbeat-1.0,10,0.000035,0.00000
259,dowhy-0.7.1,9,0.000038,0.00046
260,lightgbm-3.3.5,15,0.000059,0.00375
261,scikit-learn-1.1.3,15,0.000074,0.00443
262,shap-0.40.0,20,0.000041,0.00137
263,sparse-0.14.0,6,0.000043,0.00144
264,statsmodels-0.13.5,68,0.000315,0.02691
265,networkx-3.1,167,0.001291,0.08053
266,pydot-1.4.2,21,0.000181,0.00930
267,sympy-1.11.1,26,0.000363,0.01483
268,threadpoolctl-3.1.0,11,0.000223,0.01145
269,patsy-0.5.3,12,0.000085,0.00466
270,pandas-1.5.3,91,0.000602,0.04471
271,pandas-1.3.5,23,0.000155,0.00941
272,scipy-1.7.3,14,0.000113,0.00652
273,mpmath-1.3.0,16,0.000470,0.00808
274,wheel-0.40.0,58,0.000893,0.02821
275,scikit-learn-1.2.2,278,0.001508,0.12517
276,numba-0.56.4,48,0.000386,0.02032
277,slicer-0.0.7,2,0.000037,0.00098
278,cloudpickle-2.0.0,2,0.000037,0.00098
279,numba-0.55.1,5,0.000037,0.00098
280,pandas-1.4.2,9,0.000049,0.00209
281,scikit-learn-1.0.2,11,0.000073,0.00192
282,scipy-1.8.0,15,0.000215,0.01198
283,tqdm-4.64.0,8,0.000060,0.00377
284,llvmlite-0.39.1,3,0.000115,0.00241
285,iam-profile-faker-0.3.1,3,0.000035,0.00000
286,faker-18.4.0,6,0.000084,0.00231
287,tinydb-4.7.1,11,0.000132,0.00510
288,hyde-generator-0.0.4,3,0.000035,0.00000
289,markdown-3.4.3,52,0.000600,0.02466
290,hcloud-selfdestruct-0.1.0,2,0.000035,0.00000
291,apprise-1.3.0,8,0.000051,0.00096
292,hcloud-1.19.0,4,0.000060,0.00091
293,requests-oauthlib-1.3.1,49,0.000627,0.02275
294,oauthlib-3.2.2,23,0.000299,0.01102
295,requests-2.25.1,39,0.000537,0.01516
296,oauthlib-3.1.1,2,0.000175,0.00196
297,gradinit-0.1.1,1,0.000035,0.00000
298,torch-2.0.0,153,0.001438,0.06272
299,filelock-3.11.0,38,0.000473,0.02306
300,nvidia-cublas-cu11-11.10.3.66,6,0.000302,0.00538
301,nvidia-cuda-cupti-cu11-11.7.101,3,0.000096,0.00343
302,nvidia-cuda-nvrtc-cu11-11.7.99,2,0.000119,0.00425
303,nvidia-cuda-runtime-cu11-11.7.99,4,0.000119,0.00425
304,nvidia-cudnn-cu11-8.5.0.96,3,0.000119,0.00425
305,nvidia-cufft-cu11-10.9.0.58,1,0.000096,0.00343
306,nvidia-curand-cu11-10.2.10.91,3,0.000096,0.00343
307,nvidia-cusolver-cu11-11.4.0.1,2,0.000096,0.00343
308,nvidia-cusparse-cu11-11.7.4.91,3,0.000096,0.00343
309,nvidia-nccl-cu11-2.14.3,1,0.000096,0.00343
310,nvidia-nvtx-cu11-11.7.91,3,0.000096,0.00343
311,triton-2.0.0,6,0.000096,0.00343
312,filelock-3.12.0,10,0.000184,0.00889
313,networkx-2.8,4,0.000114,0.00483
314,networkx-2.6.3,5,0.000130,0.00544
315,cmake-3.26.3,1,0.000051,0.00055
316,lit-16.0.1,1,0.000051,0.00055
317,hmtvltk2-django-thumbor-1.0.2,2,0.000035,0.00000
318,django-4.2,98,0.002142,0.04662
319,libthumbor-2.0.2,2,0.000050,0.00046
320,asgiref-3.6.0,18,0.000991,0.01116
321,sqlparse-0.4.3,18,0.000995,0.01112
322,sqlparse-0.4.4,4,0.000664,0.00404
323,hrflow-connectors-1.0.2,4,0.000035,0.00000
324,hrflow-1.9.0,5,0.000052,0.00091
325,pydantic-1.7.4,2,0.000044,0.00091
326,requests-2.26.0,28,0.000316,0.01018
327,selenium-3.141.0,11,0.000134,0.00370
328,python-magic-0.4.27,11,0.000111,0.00514
329,charset-normalizer-2.0.12,7,0.000166,0.00434
330,certifi-2020.4.5.2,2,0.000074,0.00139
331,urllib3-1.26.5,4,0.000139,0.00276
332,urllib3-1.25.9,3,0.000089,0.00175
333,graw-0.0.0,1,0.000035,0.00000
334,groupdocs-viewer-cloud-23.3,4,0.000035,0.00000
335,hotair-0.1.0,4,0.000035,0.00000
336,aiofiles-0.6.0,2,0.000050,0.00091
337,starlette-0.14.2,4,0.000072,0.00185
338,uvicorn-0.13.4,10,0.000050,0.00091
339,click-7.1.2,75,0.001058,0.03647
340,h11-0.14.0,18,0.000370,0.00952
341,httptools-0.1.2,1,0.000040,0.00050
342,uvloop-0.17.0,16,0.000115,0.00827
343,watchgod-0.8.2,5,0.000053,0.00196
344,websockets-8.1,9,0.000092,0.00425
345,anyio-3.6.2,32,0.000870,0.01512
346,sniffio-1.3.0,29,0.000956,0.01699
347,hideandseek-0.1.5,5,0.000035,0.00000
348,hydra-core-1.3.2,18,0.000249,0.00686
349,tools-jsyoo61-2022.6.27.0,4,0.000041,0.00046
350,antlr4-python3-runtime-4.9.3,4,0.000190,0.00226
351,omegaconf-2.3.0,5,0.000118,0.00170
352,gym-recorder-0.0.3,6,0.000035,0.00000
353,json-tricks-3.16.1,5,0.000065,0.00233
354,jsonlines-3.1.0,7,0.000056,0.00238
355,lz4-4.3.2,7,0.000072,0.00418
356,ray-2.3.1,44,0.000059,0.00274
357,dm-tree-0.1.8,11,0.000088,0.00557
358,grpcio-1.53.0,81,0.001337,0.04742
359,gymnasium-0.26.3,4,0.000036,0.00059
360,msgpack-1.0.5,47,0.000432,0.02349
361,protobuf-3.20.3,62,0.001692,0.04311
362,scikit-image-0.20.0,65,0.000352,0.02569
363,tensorboardx-2.6,8,0.000048,0.00242
364,typer-0.7.0,34,0.000242,0.01452
365,virtualenv-20.21.0,21,0.000147,0.00782
366,aiohttp-cors-0.7.0,10,0.000064,0.00349
367,colorful-0.5.5,5,0.000081,0.00244
368,gpustat-1.1,10,0.000121,0.00333
369,opencensus-0.11.2,4,0.000042,0.00107
370,prometheus-client-0.16.0,22,0.000227,0.01122
371,py-spy-0.3.14,1,0.000036,0.00059
372,smart-open-6.3.0,14,0.000093,0.00403
373,smart-open-5.2.1,4,0.000044,0.00196
374,grpcio-1.54.0,8,0.000127,0.00510
375,gymnasium-notices-0.0.1,1,0.000045,0.00048
376,imageio-2.27.0,36,0.000186,0.01401
377,lazy-loader-0.2,4,0.000082,0.00319
378,pywavelets-1.4.1,13,0.000112,0.00460
379,tifffile-2023.4.12,27,0.000151,0.01109
380,numpy-1.23.0,6,0.000133,0.00417
381,numpy-1.24.1,8,0.000192,0.00560
382,rich-12.6.0,19,0.000274,0.00896
383,shellingham-1.5.1,8,0.000189,0.00513
384,distlib-0.3.6,2,0.000067,0.00128
385,platformdirs-3.2.0,22,0.000377,0.01269
386,platformdirs-2.6.2,6,0.000089,0.00320
387,gpr-complex-0.3.1,3,0.000035,0.00000
388,bokeh-3.1.0,27,0.000124,0.00759
389,xyzservices-2023.2.0,4,0.000066,0.00227
390,tornado-6.3,26,0.000313,0.01490
391,graphlan-1.1.3.1,3,0.000035,0.00000
392,biopython-1.76,2,0.000045,0.00046
393,huaweicloudsdkcloudpipeline-3.1.36,1,0.000035,0.00000
394,huaweicloudsdkcore-3.1.36,135,0.003919,0.05990
395,simplejson-3.19.1,50,0.001199,0.02679
396,hpl-specs-0.2.3,4,0.000053,0.00094
397,lark-parser-0.12.0,4,0.000105,0.00190
398,htmlx-0.0.3,1,0.000035,0.00000
399,grma-0.0.5,1,0.000035,0.00000
400,setproctitle-1.1.10,1,0.000065,0.00046
401,gridjug-0.4.0,3,0.000035,0.00000
402,gridmap-0.15.0,5,0.000045,0.00046
403,jug-2.2.2,1,0.000045,0.00046
404,drmaa-0.7.9,1,0.000044,0.00048
405,psutil-5.9.4,87,0.000771,0.04206
406,pyzmq-25.0.2,31,0.000273,0.01672
407,googlewifi-0.0.21,1,0.000035,0.00000
408,ghome-foyer-api-1.0.0,4,0.000070,0.00091
409,gpm-player-0.1.2,3,0.000035,0.00000
410,gmusicapi-13.0.0,16,0.000109,0.00231
411,inputimeout-1.0.4,1,0.000045,0.00046
412,python-vlc-3.0.18121,1,0.000045,0.00046
413,appdirs-1.4.4,113,0.000923,0.05338
414,gpsoauth-1.0.2,5,0.000076,0.00153
415,mechanicalsoup-1.2.0,7,0.000085,0.00196
416,mutagen-1.46.0,7,0.000137,0.00338
417,oauth2client-4.1.3,65,0.000534,0.02743
418,proboscis-1.2.6.0,1,0.000043,0.00057
419,validictory-1.1.2,1,0.000043,0.00057
420,pyasn1-modules-0.2.8,16,0.000484,0.01187
421,rsa-4.9,18,0.000555,0.01261
422,httplib2-0.19.0,6,0.000172,0.00473
423,hrprotoparser-0.1.dev1,1,0.000035,0.00000
424,skbs-2.2.1,4,0.000065,0.00046
425,tempiny-1.1,1,0.000053,0.00048
426,abrade-0.1.1,2,0.000035,0.00000
427,bs4-0.0.1,86,0.000774,0.03665
428,beautifulsoup4-4.7.1,5,0.000151,0.00312
429,beautifulsoup4-4.8.1,3,0.000131,0.00267
430,beautifulsoup4-4.9.3,10,0.000208,0.00561
431,beautifulsoup4-4.9.1,9,0.000169,0.00450
432,beautifulsoup4-4.10.0,7,0.000141,0.00358
433,beautifulsoup4-4.11.1,9,0.000143,0.00459
434,hg0428db-0.0.3,1,0.000035,0.00000
435,hashchecker-1.3,3,0.000035,0.00000
436,http-requests-0.1,2,0.000035,0.00000
437,haystack-redis-0.0.1,3,0.000035,0.00000
438,django-haystack-3.2.1,2,0.000045,0.00046
439,redis-4.5.4,53,0.000660,0.02387
440,whoosh-2.7.4,5,0.000049,0.00233
441,hiredis-2.2.2,3,0.000342,0.00253
442,abundancematching-0.3.0,2,0.000035,0.00000
443,griffin-powermate-1.0.2,1,0.000035,0.00000
444,pywinusb-0.4.2,1,0.000065,0.00046
445,hardness-0.3,7,0.000035,0.00000
446,argiope-0.3,7,0.000039,0.00046
447,jupyter-1.0.0,31,0.000131,0.00779
448,nbconvert-7.3.1,31,0.000106,0.00800
449,ipykernel-6.22.0,37,0.000224,0.01227
450,ipywidgets-8.0.6,38,0.000455,0.01582
451,jupyter-console-6.6.3,10,0.000043,0.00083
452,notebook-6.5.4,38,0.000181,0.00654
453,qtconsole-5.4.2,23,0.000066,0.00425
454,ipykernel-5.3.4,10,0.000067,0.00354
455,ipywidgets-7.7.2,8,0.000044,0.00129
456,jupyter-console-6.4.4,6,0.000043,0.00083
457,nbconvert-7.2.8,19,0.000053,0.00237
458,notebook-6.4.12,21,0.000096,0.00325
459,jupyter-console-6.4.2,6,0.000043,0.00083
460,nbconvert-5.6.1,13,0.000046,0.00134
461,notebook-5.7.16,15,0.000053,0.00129
462,comm-0.1.3,3,0.000051,0.00148
463,debugpy-1.6.7,3,0.000052,0.00193
464,ipython-8.12.0,82,0.000506,0.03461
465,jupyter-client-8.2.0,25,0.000155,0.01069
466,jupyter-core-5.3.0,26,0.000215,0.01466
467,matplotlib-inline-0.1.6,7,0.000095,0.00498
468,nest-asyncio-1.5.6,23,0.000147,0.01202
469,traitlets-5.9.0,60,0.000813,0.03529
470,psutil-5.9.5,48,0.000360,0.02330
471,jupyter-client-6.2.0,10,0.000062,0.00264
472,backcall-0.2.0,7,0.000092,0.00510
473,jedi-0.18.2,10,0.000117,0.00590
474,pexpect-4.8.0,34,0.000320,0.01747
475,pickleshare-0.7.5,8,0.000098,0.00558
476,prompt-toolkit-3.0.38,27,0.000325,0.01399
477,stack-data-0.6.2,7,0.000080,0.00350
478,decorator-4.4.2,4,0.000081,0.00352
479,parso-0.8.3,4,0.000173,0.00211
480,ptyprocess-0.7.0,4,0.000353,0.00286
481,wcwidth-0.2.6,23,0.001198,0.01344
482,pure-eval-0.2.2,3,0.000069,0.00154
483,jupyterlab-widgets-3.0.7,2,0.000120,0.00168
484,widgetsnbextension-4.0.7,1,0.000112,0.00120
485,defusedxml-0.7.1,34,0.000465,0.01760
486,jupyterlab-pygments-0.2.2,2,0.000043,0.00137
487,mistune-2.0.5,10,0.000087,0.00523
488,nbclient-0.7.3,6,0.000045,0.00129
489,nbformat-5.8.0,29,0.000149,0.01308
490,pandocfilters-1.5.0,5,0.000050,0.00287
491,tinycss2-1.2.1,12,0.000131,0.00567
492,fastjsonschema-2.16.3,4,0.000098,0.00263
493,argon2-cffi-21.3.0,14,0.000103,0.00730
494,ipython-genutils-0.2.0,14,0.000095,0.00740
495,nbclassic-0.5.5,21,0.000049,0.00139
496,send2trash-1.8.0,11,0.000076,0.00611
497,terminado-0.17.1,10,0.000096,0.00408
498,coverage-7.2.3,19,0.000289,0.00896
499,nbval-0.10.0,6,0.000041,0.00076
500,pytest-7.3.1,124,0.001057,0.05609
501,pytest-cov-4.0.0,12,0.000093,0.00442
502,requests-unixsocket-0.3.0,11,0.000092,0.00489
503,selenium-4.1.5,4,0.000041,0.00076
504,testpath-0.6.0,2,0.000045,0.00127
505,argon2-cffi-bindings-21.2.0,4,0.000123,0.00123
506,cffi-1.15.0,3,0.000087,0.00097
507,jupyter-server-2.5.0,25,0.000106,0.00355
508,notebook-shim-0.2.2,3,0.000037,0.00051
509,jupyter-server-1.24.0,21,0.000086,0.00305
510,jupyter-events-0.6.3,8,0.000053,0.00110
511,jupyter-server-terminals-0.4.4,2,0.000040,0.00062
512,websocket-client-1.5.1,44,0.000421,0.02213
513,python-json-logger-2.0.7,8,0.000151,0.00375
514,arrow-1.2.3,26,0.000324,0.01189
515,qtpy-2.3.1,27,0.000350,0.01282
516,ipykernel-6.20.2,12,0.000039,0.00065
517,jupyter-client-6.1.12,8,0.000045,0.00159
518,jupyter-core-4.11.1,4,0.000050,0.00163
519,hyde-images-0.4.3,5,0.000035,0.00000
520,bm3d-4.0.1,4,0.000041,0.00046
521,kornia-0.6.11,4,0.000042,0.00091
522,bm4d-4.2.3,4,0.000046,0.00048
523,gortz-0.1.0,2,0.000035,0.00000
524,rich-10.16.2,9,0.000088,0.00277
525,typer-0.4.2,13,0.000106,0.00472
526,commonmark-0.9.1,17,0.000333,0.00869
527,0x-contract-addresses-3.0.0,3,0.000042,0.00094
528,mypy-extensions-1.0.0,23,0.000344,0.01211
529,aalto-asr-preprocessor-2022.4.27,1,0.000035,0.00000
530,grinmw-0.1.1,4,0.000035,0.00000
531,coincurve-18.0.0,7,0.000060,0.00240
532,crypto-1.4.1,3,0.000042,0.00046
533,eciespy-0.3.0,5,0.000042,0.00046
534,asn1crypto-1.5.1,17,0.000306,0.00831
535,naked-0.1.32,4,0.000083,0.00094
536,shellescape-3.8.1,1,0.000053,0.00048
537,grpc-google-cloud-pubsub-v1-0.14.0,3,0.000035,0.00000
538,googleapis-common-protos-1.59.0,59,0.000780,0.03030
539,oauth2client-3.0.0,25,0.000206,0.00888
