,Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,Category
321,321,sqlparse-0.4.3,18,0.000995,0.01112,0.638047486,M
320,320,asgiref-3.6.0,18,0.000991,0.01116,0.718521638,M
346,346,sniffio-1.3.0,29,0.000956,0.01699,0.700285548,M
636,636,httpie-3.2.1,55,0.000955,0.02103,0.690928893,M
1369,1369,gitpython-3.1.31,90,0.000933,0.04142,0.573668716,M
62,62,async-timeout-4.0.2,31,0.000926,0.02149,0.758138026,H
413,413,appdirs-1.4.4,113,0.000923,0.05338,0.888058864,H
808,808,sqlalchemy-2.0.9,105,0.000923,0.04865,0.223702889,L
274,274,wheel-0.40.0,58,0.000893,0.02821,0.643444469,M
20,20,packaging-21.3,32,0.00089,0.035557,0.593759389,M
165,165,decorator-5.1.1,62,0.000888,0.03326,0.7537292,H
828,828,astropy-5.2.2,124,0.000882,0.05663,0.470102579,L
142,142,pyopenssl-23.1.1,51,0.000872,0.02963,0.687555257,M
50,50,numpy-1.22.2,6,0.000871,0.02258,0.260893907,L
345,345,anyio-3.6.2,32,0.00087,0.01512,0.741335072,M
126,126,tabulate-0.9.0,116,0.000864,0.05436,0.646809249,M
194,194,zipp-3.15.0,15,0.000858,0.00885,0.685200734,M
151,151,babel-2.12.1,35,0.000848,0.02388,0.815605004,H
150,150,markupsafe-2.1.1,9,0.000814,0.01089,0.855779958,H
638,638,pyjwt-2.6.0,79,0.000814,0.03726,0.689097695,M
469,469,traitlets-5.9.0,60,0.000813,0.03529,0.631618188,M
95,95,jsonschema-4.17.3,118,0.0008,0.05165,0.566904786,M
106,106,regex-2023.3.23,54,0.000799,0.02727,0.382117397,L
648,648,httpx-0.24.0,72,0.000787,0.03108,0.551984718,M
568,568,jmespath-1.0.1,33,0.000783,0.01959,0.751241116,H
538,538,googleapis-common-protos-1.59.0,59,0.00078,0.0303,0.763115661,H
671,671,termcolor-2.2.0,62,0.00078,0.03053,0.715614182,M
552,552,argparse-1.4.0,66,0.000776,0.03046,0.829467632,H
427,427,bs4-0.0.1,86,0.000774,0.03665,0.573668716,M
65,65,multidict-6.0.4,25,0.000773,0.0209,0.609892488,M
81,81,httplib2-0.22.0,61,0.000772,0.03305,0.573668716,M
405,405,psutil-5.9.4,87,0.000771,0.04206,0.60049988,M
146,146,werkzeug-2.2.3,49,0.000752,0.02713,0.551480512,M
204,204,requests-2.27.1,29,0.00075,0.01023,0.479586308,L
162,162,rich-13.3.4,86,0.000749,0.04033,0.65949082,M
1566,1566,selenium-4.8.3,54,0.000742,0.02297,0.528159757,M
84,84,cloudpickle-2.2.1,44,0.000731,0.02472,0.729166061,M
244,244,joblib-1.2.0,83,0.000723,0.04613,0.55422828,M
112,112,pycryptodome-3.17,47,0.000704,0.02287,0.634173958,M
609,609,google-api-python-client-2.85.0,83,0.000684,0.03477,0.654472303,M
8,8,fonttools-4.39.3,29,0.000665,0.026256,0.547940771,M
322,322,sqlparse-0.4.4,4,0.000664,0.00404,0.638047486,M
439,439,redis-4.5.4,53,0.00066,0.02387,0.504089726,M
66,66,yarl-1.8.2,44,0.000646,0.02443,0.580524187,M
127,127,toml-0.10.2,86,0.000646,0.04071,0.660148803,M
581,581,sortedcontainers-2.4.0,38,0.00063,0.01931,0.630070068,M
293,293,requests-oauthlib-1.3.1,49,0.000627,0.02275,0.575774868,M
554,554,paramiko-3.1.0,44,0.000623,0.01968,0.669730769,M
930,930,gevent-22.10.2,43,0.000614,0.01814,0.573668716,M
1093,1093,graphql-core-3.2.3,26,0.000609,0.01288,0.609022286,M
270,270,pandas-1.5.3,91,0.000602,0.04471,0.352055022,L
289,289,markdown-3.4.3,52,0.0006,0.02466,0.821689935,H
961,961,humilis-1.7.1,25,0.000599,0.00869,0.819423472,H
128,128,tornado-6.2,53,0.000596,0.028,0.551278058,M
105,105,toolz-0.12.0,34,0.000582,0.0175,0.652151859,M
570,570,jmespath-0.10.0,24,0.000577,0.01327,0.751241116,H
927,927,ruamel-yaml-0.17.21,62,0.000567,0.0288,0.627899463,M
1839,1839,hypothesis-6.72.0,35,0.000567,0.01328,0.478982695,L
1535,1535,ply-3.11,27,0.000563,0.01332,0.573668716,M
73,73,attrs-21.4.0,31,0.000556,0.02317,0.827546126,H
564,564,boto3-1.26.114,52,0.000556,0.02243,0.573668716,M
1342,1342,pygame-2.3.0,41,0.000556,0.01876,0.440866313,L
167,167,markdown-it-py-2.2.0,16,0.000555,0.00806,0.636462198,M
421,421,rsa-4.9,18,0.000555,0.01261,0.742677869,M
144,144,itsdangerous-2.1.2,27,0.000553,0.01738,0.877979849,H
599,599,opencv-python-4.7.0.72,72,0.000553,0.03215,0.562816875,M
820,820,cython-0.29.34,58,0.000538,0.02747,0.403906819,L
295,295,requests-2.25.1,39,0.000537,0.01516,0.479586308,L
203,203,webencodings-0.5.1,14,0.000535,0.00819,0.720940291,M
417,417,oauth2client-4.1.3,65,0.000534,0.02743,0.573668716,M
1224,1224,sphinx-6.1.3,54,0.000529,0.01758,0.46890645,L
641,641,pip-23.1,33,0.000527,0.01697,0.446073866,L
1570,1570,urllib3-secure-extra-0.1.0,1,0.000523,0.00646,0.573668716,M
928,928,ruamel-yaml-clib-0.2.7,2,0.000518,0.00228,0.573668716,M
1463,1463,python-xlib-0.33,8,0.000508,0.00329,0.597369122,M
464,464,ipython-8.12.0,82,0.000506,0.03461,0.544012126,M
237,237,blessings-1.7,20,0.000504,0.00882,0.631397153,M
247,247,pyyaml-5.4.1,47,0.000503,0.02193,0.582502359,M
201,201,docutils-0.19,46,0.000502,0.0234,0.573668716,M
2009,2009,watchdog-3.0.0,39,0.000491,0.0185,0.594156137,M
199,199,more-itertools-9.1.0,37,0.000486,0.01789,0.575406957,M
662,662,et-xmlfile-1.1.0,11,0.000486,0.0065,0.573668716,M
420,420,pyasn1-modules-0.2.8,16,0.000484,0.01187,0.573668716,M
670,670,tensorflow-2.12.0,73,0.00048,0.02203,0.398983919,L
299,299,filelock-3.11.0,38,0.000473,0.02306,0.60816995,M
273,273,mpmath-1.3.0,16,0.00047,0.00808,0.695357159,M
616,616,google-auth-1.35.0,34,0.000467,0.01787,0.701580505,M
485,485,defusedxml-0.7.1,34,0.000465,0.0176,0.934873627,H
138,138,chardet-5.1.0,43,0.000458,0.0204,0.740379799,M
224,224,funcparserlib-1.0.1,4,0.000458,0.00229,0.785623436,H
621,621,cachetools-5.3.0,35,0.000457,0.01859,0.775973642,H
1025,1025,grpc-google-iam-v1-0.12.6,61,0.000456,0.026,0.573668716,M
239,239,html5lib-1.1,44,0.000455,0.01969,0.573668716,M
450,450,ipywidgets-8.0.6,38,0.000455,0.01582,0.650128916,M
1014,1014,exceptiongroup-1.1.1,9,0.00045,0.00844,0.673229313,M
757,757,deprecated-1.2.13,39,0.000443,0.0188,0.764637992,H
168,168,pygments-2.15.1,18,0.000437,0.01362,0.627188997,M
360,360,msgpack-1.0.5,47,0.000432,0.02349,0.713972512,M
223,223,hy-0.26.0,17,0.000422,0.0074,0.68571945,M
750,750,seaborn-0.12.2,103,0.000422,0.04387,0.603997133,M
512,512,websocket-client-1.5.1,44,0.000421,0.02213,0.598535156,M
815,815,xmltodict-0.13.0,40,0.000418,0.01866,0.670046906,M
