,Node,Degree,Pageranks,EigenCentrality,Reach
777,777,3,0.0004105629348341613,-1.1391504907411059e-19,8
1110,1110,4,0.000671926133484722,-5.215619300569984e-18,3
1111,1111,9,0.0002988864570256392,0.0003248749355606672,12
835,835,2,0.00027161595134766797,0.00011558548369166724,1
1112,1112,3,0.00033013633707857455,0.00011558548369167054,2
1113,1113,3,0.0014434312644108778,0.0026594038091596133,1
1114,1114,3,0.0019181786999514588,0.0011672644367994416,3
614,614,10,0.004251077430129048,0.0013920375992723165,1
1115,1115,5,0.0002550056144651231,7.485018481910133e-17,1
1116,1116,5,0.00025591372768938176,6.139744070461375e-17,1
392,392,28,0.0006765687556066623,0.05715564339179922,7
1117,1117,8,0.0004233040612107797,1.274985208107079e-16,1
178,178,16,0.0005640655243810364,5.65425610854004e-17,5
556,556,3,0.00021814345431630158,5.0115517809830064e-17,5
1118,1118,7,0.00031633935802602474,9.499114708126676e-17,5
1119,1119,7,0.0002903741234686733,6.505324898092243e-17,20
1120,1120,3,0.00018418897191691132,5.045096734416762e-17,5
1121,1121,7,0.0002646386935151662,-1.4415501176890517e-17,2
1122,1122,3,0.00013780240025301825,-5.845844920526329e-18,1
188,188,27,0.00042505936132125724,-6.117617247545743e-17,4
1123,1123,2,0.0012205559187308042,0.004923515751619277,1
1124,1124,2,0.00036735771081457,0.00032487493556064865,1
1125,1125,2,0.00019640803220234395,0.0003248749355606552,2
1126,1126,16,0.0006280586437234396,0.00032487493556063136,2
1127,1127,2,0.0004290406793297667,0.0004770219718146738,1
815,815,2,0.00014618955205948454,-1.7271912102353273e-18,5
869,869,3,0.00014618955205948454,-4.832967925688918e-18,6
217,217,4,0.00019417818189736705,-3.8876152388747346e-18,5
594,594,5,0.00016012504475474904,-2.4483554010529814e-20,24
1128,1128,2,0.0004062414568739833,-3.8987654303837295e-18,1
1129,1129,1,0.00031188142514652564,2.3841394997533013e-18,1
1130,1130,1,0.00030582380874550155,4.5411357232568006e-18,1
1131,1131,25,0.0019225582578535022,0.0021909454615110235,2
1132,1132,5,0.0003343815807772696,1.06533239536966e-17,2
1133,1133,1,0.0002486078958267284,3.722519177968701e-17,1
1134,1134,5,0.00278190716502928,0.00905426418744582,1
1135,1135,3,0.0001346780420412665,0.000894929190923113,5
1136,1136,2,0.0002902772985661449,-4.996427908491812e-18,4
1137,1137,9,0.001340625270539596,0.0003248749355606775,1
1138,1138,1,0.0009760148348455407,0.00032487493556066573,1
563,563,4,0.0003142277728956988,0.015907651581292585,1
1139,1139,1,0.0002581442653748324,0.015907651581292596,1
1140,1140,1,0.0002581442653748324,0.015907651581292585,1
1141,1141,3,0.0002581442653748324,0.015907651581292592,3
641,641,5,0.000467088695152871,-2.9987002383479635e-17,2
465,465,6,0.0005680093687945596,0.0006097875024593271,1
1142,1142,1,0.0002825077781727476,9.041972018348131e-05,1
1143,1143,1,0.0006721285406895304,9.041972018346942e-05,1
1144,1144,3,0.0036144994574339425,0.0006097875024580436,1
1145,1145,4,0.0005645460032297936,1.0939027583985668e-17,1
985,985,7,0.00046552929192052444,0.0014182314168606324,3
1146,1146,9,0.0009097974491047277,0.004427443447659762,1
643,643,5,0.0006853092796105534,-5.827621716977786e-18,1
1147,1147,1,0.00031034891538206063,-9.149300309866042e-18,1
4,4,40,0.00029505436732328187,-7.081004747578357e-18,106
1149,1149,3,0.00011689145780758693,5.543013632805054e-18,4
743,743,18,0.001693569437067682,-3.589392946686793e-17,1
1150,1150,9,0.00029178019921277036,-4.1391793013980674e-17,6
1160,1160,9,0.00011689145780758693,4.985242477677911e-18,17
1163,1163,9,0.00015682758792034311,-2.739401959115977e-18,11
90,90,22,0.000694424576423224,0.0004770219718146497,1
1167,1167,1,0.00011689145780758693,5.0153650868692686e-18,1
1169,1169,2,0.00015229602903230253,0.08165543248706243,1
503,503,8,0.00018581410179106933,-1.20170931908644e-17,4
1170,1170,1,0.00011689145780758693,5.079527832397092e-18,1
1171,1171,7,0.00028679255274991665,-3.9745657006892543e-17,3
289,289,5,0.00035436272116490274,0.004037877981593675,1
1173,1173,3,0.00024977983501736504,6.534429134690464e-18,1
1175,1175,2,0.00014104033331617752,3.331569671490917e-18,1
211,211,15,0.0005194778268050217,-7.18802055661101e-18,2
893,893,6,0.00024592007769973044,1.5194079420814477e-17,1
722,722,25,0.0006509439955576981,-4.835494231861206e-17,11
718,718,6,0.00028098302190655887,4.100531201561949e-18,1
380,380,11,0.00012597926091750667,-8.123494963233961e-18,59
1179,1179,6,0.00015588240623342581,1.0154737594420315e-17,3
1180,1180,8,0.0003786458205928369,6.0955419650861295e-18,10
1148,1148,3,0.00014392988964743458,2.682914846155752e-18,6
732,732,6,0.00020657920229667955,-1.1184639481008403e-17,3
151,151,5,0.00040307560124095847,-4.059298310024216e-17,1
1154,1154,4,0.00023727269403654862,-2.556910672780413e-17,4
1155,1155,5,0.00033183054297829544,-5.323555432724344e-17,1
1151,1151,1,0.0001769457102080856,-1.1120041361402476e-17,1
1152,1152,2,0.00020048678772428713,-1.858021040599675e-17,1
1166,1166,3,0.00037501807815245697,-2.0437022408825576e-17,1
1156,1156,5,0.00011896909224896208,-2.38643037230019e-18,13
1153,1153,3,0.00017252302055791987,-1.5481666764655153e-17,1
1161,1161,8,0.00017252302055791987,-1.461748146782321e-17,11
1157,1157,3,0.00016043164511967537,-2.1012082129760456e-17,2
1165,1165,1,0.0002503283659260983,-3.996237031802762e-18,1
1158,1158,3,0.00016043164511967537,-2.3399973679782037e-17,2
1162,1162,5,0.00011896909224896208,-1.7261947188250804e-18,14
1164,1164,3,0.00011896909224896208,-1.4285420715245067e-18,7
1159,1159,2,0.00016043164511967537,-2.49752430645888e-17,1
85,85,16,0.0007065048307992944,-1.1001726443784543e-16,7
906,906,7,0.000620414398637403,-1.2386024474686692e-16,1
1174,1174,1,0.00023190886571866778,-5.871427776598454e-17,1
1178,1178,3,0.0002440109823857979,-5.868081994869049e-17,2
1172,1172,2,0.00023500253867636743,-2.1563275626450775e-17,2
783,783,9,0.0007816172307379987,0.0006097875024592843,1
439,439,3,0.0008216055750218685,-1.4133769816431504e-17,1
1176,1176,7,0.0005023917678972974,-1.8714138099412952e-17,2
773,773,38,0.003503306692907839,0.03043348916488905,1
1168,1168,2,0.0002524741572155823,-3.632437672479993e-17,2
1177,1177,8,0.00024772922083681625,-1.7269166872928017e-17,3
262,262,14,0.0002115795561822205,2.830533468938722e-18,20
22,22,37,0.0009556680089915139,1.7443599961747215e-17,2
702,702,7,0.000895959520695739,9.410859827025227e-05,1
5,5,70,0.0005373084420930372,-8.750738534328327e-17,192
1182,1182,7,0.00021193499206736488,-4.900464514238445e-17,2
1183,1183,3,0.00015999876455161772,-4.415060561263784e-17,1
1184,1184,11,0.00011795217815590077,-3.612308092240476e-17,32
1185,1185,1,0.00011530544498479132,-3.519113301108738e-17,1
1186,1186,4,0.00011530544498479132,-3.516932191412048e-17,8
1187,1187,1,0.00011530544498479132,-3.603964818220766e-17,1
1191,1191,5,0.0001501651074648218,-5.896492436317596e-17,7
707,707,5,0.00014938173608462007,-5.659399591231269e-17,2
1193,1193,8,0.0007022339389450099,-1.1673764416339992e-16,1
605,605,7,0.00015467928504936583,-5.264401586217015e-17,4
1194,1194,6,0.00018092882618238996,-3.57590684812434e-17,2
1195,1195,11,0.0010231666371517646,0.0006097875024592939,1
1197,1197,3,0.00011768750483878982,-3.730892693967597e-17,49
990,990,10,0.00027062152146111997,0.004569147318818662,4
1199,1199,2,0.00012501366480448657,-4.309605041232953e-17,1
841,841,14,0.0003187687316720519,-8.560128783223561e-17,1
1202,1202,18,0.0007452483596138743,0.027101319257826887,2
1203,1203,5,0.00028170399405259903,-3.733962399915442e-17,2
1204,1204,3,0.0001701670126672965,-3.219687114007302e-17,1
1205,1205,4,0.00013653134978987446,0.00016971704895791666,3
229,229,6,0.0002418145600747797,-2.9342531799036355e-17,1
1206,1206,9,0.00016499931609971204,0.0006097875024593104,9
1211,1211,5,0.00014239630904609946,-3.788085872927797e-17,1
1200,1200,7,0.00018755073262354788,-5.570632144101491e-17,6
1188,1188,1,0.00014041312487893856,-1.526732644071905e-17,1
1189,1189,3,0.0001733755133983287,-2.580414028035134e-17,4
1190,1190,2,0.00021709261801732146,-1.9618417211959687e-17,1
1210,1210,2,0.00018363868366755542,-1.2139212962484935e-17,2
1196,1196,5,0.00020223515495240143,-8.919540584679378e-17,2
645,645,4,0.00017786966397656951,-2.0061211921485407e-17,1
1209,1209,1,0.0002874752801628684,-3.091802746263966e-17,1
1198,1198,4,0.00021176787690338787,-1.735939162642902e-17,48
840,840,2,0.00018910462094553498,-3.2591678018855318e-18,1
78,78,39,0.0011983744813001415,0.05414126477715857,43
1207,1207,2,0.00016206680376055593,-2.1918196336533448e-17,2
1201,1201,4,0.000843180785211814,0.015082781713568335,1
839,839,3,0.00035779495025734166,0.00027733567829705283,1
1212,1212,3,0.0001884039781874413,0.00021695297391675678,2
1181,1181,1,0.00012703583109576792,0.00016971704895795054,1
1192,1192,2,0.00017496954169863207,0.00016971704895795136,1
838,838,4,0.00015062272462969609,0.0001697170489579489,2
1208,1208,2,0.0003728719413540041,-9.626115329522585e-18,1
6,6,24,0.0007710331966325607,3.751189624411044e-17,2
63,63,204,0.01667489889147576,-7.295969541285328e-16,1
9,9,12,0.0001403984553985358,-1.1070209095510917e-17,67
190,190,5,0.00013412014619820675,-1.1299098018374374e-17,61
165,165,10,0.00018506416453632085,-8.283428679447827e-18,63
1213,1213,3,0.000123877967137617,-7.346273564386185e-18,64
1214,1214,4,0.000123877967137617,-8.454298433564233e-18,62
531,531,13,0.0005099223808894564,3.2741823300216e-17,5
12,12,6,0.00031813664135511523,-1.815556611167665e-18,136
14,14,25,0.000137570724343998,-9.758315989011178e-19,77
335,335,4,0.00011712721114125713,-2.750974802457407e-18,4
271,271,4,0.00011712721114125713,-3.2155657833287294e-18,4
309,309,3,0.00011414963632375902,-2.927725805160996e-18,4
360,360,8,0.00011712721114125713,-3.3125728507832424e-18,30
269,269,12,0.00011712721114125713,-2.763141727566209e-18,35
331,331,5,0.00011712721114125713,-2.7867431624025386e-18,30
312,312,4,0.00011712721114125713,-3.709082388217795e-18,4
313,313,4,0.00011414963632375902,-2.1846198959981153e-18,8
359,359,4,0.00011712721114125713,-2.7692866260672897e-18,4
388,388,6,0.00011712721114125713,-2.988747062408378e-18,32
358,358,4,0.00011712721114125713,-3.408514405564787e-18,4
329,329,6,0.00014841861778824289,-4.4128028532735736e-18,32
123,123,9,0.00017059972979453279,-8.252966873365282e-18,31
270,270,5,0.00011414963632375902,-2.6361883404338723e-18,31
332,332,5,0.00011414963632375902,-1.9111896084182383e-18,33
363,363,4,0.00011414963632375902,-2.76504337407643e-18,32
310,310,9,0.00011712721114125713,-3.177848454461269e-18,33
330,330,5,0.00011712721114125713,-2.7697788919046646e-18,8
364,364,4,0.00011712721114125713,-3.556546433269797e-18,4
311,311,5,0.00011414963632375902,-1.9226627702457965e-18,9
390,390,4,0.00011712721114125713,-3.6650243535375935e-18,4
268,268,3,0.00011414963632375902,-2.697502775737395e-18,4
527,527,5,0.00011414963632375902,-3.1625872604097624e-18,20
442,442,4,0.00011712721114125713,-3.094364418602037e-18,11
362,362,5,0.00016556319518695533,5.3901341834654245e-18,13
665,665,5,0.00012339199094958125,-1.899335297437174e-18,30
871,871,4,0.0001678622218748177,-1.1369157654943617e-18,8
122,122,77,0.0049624941423009805,-4.02758188288233e-17,3
307,307,21,0.0005339549908964409,-7.869808572481117e-19,28
391,391,34,0.0013817738879264756,-6.118999666794289e-18,7
872,872,5,0.00011753130272994911,-2.0827489265408677e-18,32
936,936,10,0.0002478213706871951,2.448856726891931e-18,31
25,25,108,0.004153521191095601,0.0003381289472772434,1
741,741,4,0.00016798463917134344,3.799072738253008e-18,8
334,334,23,0.0006598235840497612,-3.548002117583518e-18,29
932,932,4,0.00014289593627341286,-8.241022314260616e-19,8
933,933,5,0.00017434788921965257,-1.7107317871509717e-18,8
806,806,8,0.00016893477492667495,-2.7174374315593204e-18,31
440,440,6,0.0002152693506361958,8.959277370631755e-18,4
308,308,3,0.00014423112642683003,-4.007635527073569e-18,8
1219,1219,9,0.0002248776726104086,-3.130400239680122e-18,11
1218,1218,6,0.00024370486699714137,2.2848872358105087e-18,10
35,35,33,0.003657483672909103,-2.4275568926768235e-17,1
344,344,10,0.006714131160687006,-1.0434192521770235e-16,1
218,218,4,0.0004238783233346742,7.908808199000219e-19,1
318,318,11,0.0003673651288452092,-2.6508990076412196e-17,3
1215,1215,3,0.0008029474588458368,0.06346922002681343,2
1216,1216,2,0.00016701087478915226,7.539505305546095e-18,1
1217,1217,2,0.0002557265653986375,1.2591165634850787e-18,1
1220,1220,1,0.00013476019619852248,-4.47825828045322e-20,1
1221,1221,3,0.00014086453714240354,-3.57119206821567e-18,2
15,15,21,0.00010580992629068478,-4.790065991525263e-19,311
837,837,9,0.0002952790703985512,-1.0069546573100662e-17,2
1223,1223,1,0.00011034718315544382,8.87369037927673e-19,1
112,112,39,0.00038222869535463425,0.015068684825077497,125
1225,1225,7,0.0002246028950978764,-7.578530643659299e-18,1
843,843,8,0.00029025061505817234,-1.1311513701709711e-17,1
597,597,6,0.00014577716341167358,0.022125725813557057,12
700,700,5,0.0007805193895084134,-1.0729526226217814e-17,1
1229,1229,6,0.00012120878129192708,1.0991440168489905e-17,62
1230,1230,5,0.00011034718315544382,2.351912178679561e-18,5
1227,1227,2,0.0001345249580849546,0.004193940856241628,2
852,852,5,0.0001345249580849546,0.004193940856241626,114
1222,1222,1,0.00022680072706049044,0.0011672644367994637,1
1228,1228,3,0.0002795180180062651,0.028283793789671878,1
1224,1224,7,0.00028236074864702724,1.800505963856087e-17,1
1226,1226,3,0.0001401105168518603,2.049840549641596e-18,1
914,914,8,0.0005429602952704609,-9.65012509668486e-18,1
16,16,95,0.00019283666250893434,1.557907216598188e-17,174
1241,1241,3,0.00010795297113410086,1.0215201387647294e-17,61
1242,1242,5,0.00010795297113410086,9.688346937516805e-18,64
1243,1243,6,0.00013245815159187543,2.1473638400137257e-17,68
1244,1244,3,0.00013225488569890915,1.5076232738671698e-17,2
124,124,8,0.00020976148950236221,1.056199802644708e-17,2
1245,1245,4,0.0001879967209671484,1.5097832081880045e-17,2
1246,1246,4,0.00012363707123604797,6.81347164085417e-18,61
1247,1247,3,0.00010795297113410086,1.0216471933570687e-17,61
1248,1248,4,0.00015717501342160206,2.3734218825182097e-17,2
1249,1249,3,0.00010795297113410086,1.1041481946640925e-17,73
199,199,4,0.00011173231659652776,1.2987863764390943e-17,61
1250,1250,6,0.00010795297113410086,1.030435158700712e-17,65
179,179,6,0.00010923311119981761,1.3323388697985339e-17,64
427,427,4,0.00011173231659652776,1.0030448498109449e-17,61
619,619,5,0.00012237762730712875,1.4840302183151903e-17,61
1251,1251,4,0.00010795297113410086,9.634136830317433e-18,67
1252,1252,5,0.00010795297113410086,1.137140125113542e-17,68
