,Id,Label,Degree,Pageranks,Eigencentrality,Reachability,Log2_reach,R_Reachability,R_Log2_reach,RiskScore,Category,PR_Category,R_Category,R_Lo10_reach
3635,3635,pyflakes-2.3.1,2,0.00013,0.00121,1,0,21,7.892317423,0.716596895,H,T,T,0.21
28,28,docutils-0.17.1,8,8.60E-05,0.003857,1,0,20,7.821928095,0.671641247,H,T,T,0.2
332,332,urllib3-1.25.9,3,8.90E-05,0.00175,1,0,20,7.821928095,0.564677815,H,T,T,0.2
460,460,nbconvert-5.6.1,13,4.60E-05,0.00134,36,5.169925001,20,7.821928095,0.64236639,H,T,T,0.2
961,961,humilis-1.7.1,25,0.000599,0.00869,64,6,20,7.821928095,0.819423472,H,T,T,0.2
1198,1198,txaio-23.1.1,2,5.10E-05,0.00118,1,0,20,7.821928095,0.697625474,H,T,T,0.2
1485,1485,apscheduler-3.10.1,16,0.000102,0.00564,7,2.807354922,20,7.821928095,0.723216809,H,T,T,0.2
1513,1513,pyaml-21.10.1,12,0.00011,0.00521,2,1,20,7.821928095,0.777336254,H,T,T,0.2
1553,1553,xarray-2023.4.1,14,0.000116,0.00477,13,3.700439718,20,7.821928095,0.550252534,H,T,T,0.2
1578,1578,jsonpath-ng-1.5.3,13,0.000115,0.0047,4,2,20,7.821928095,0.760811564,H,T,T,0.2
1679,1679,sqlalchemy-utils-0.41.0,6,6.40E-05,0.00205,4,2,20,7.821928095,0.628247334,H,T,T,0.2
1783,1783,frozendict-2.3.7,8,0.000147,0.00384,1,0,20,7.821928095,0.775212705,H,T,T,0.2
1943,1943,tokenizers-0.11.6,2,4.60E-05,0.00125,1,0,20,7.821928095,0.614749671,H,T,T,0.2
2262,2262,aiosqlite-0.19.0,4,6.40E-05,0.00194,1,0,20,7.821928095,0.831619249,H,T,T,0.2
2266,2266,i3ipc-2.2.1,20,0.000449,0.00869,4,2,20,7.821928095,0.606577116,H,T,T,0.2
2427,2427,boto3-1.26.113,20,0.000181,0.00788,27,4.754887502,20,7.821928095,0.49978448,L,T,T,0.2
2971,2971,translationstring-1.4,3,8.50E-05,0.00178,1,0,20,7.821928095,0.694935315,H,T,T,0.2
3045,3045,black-23.3.0,20,0.000144,0.00649,7,2.807354922,20,7.821928095,0.502538595,H,T,T,0.2
3608,3608,ifaddr-0.2.0,3,9.00E-05,0.00155,1,0,20,7.821928095,0.615885365,H,T,T,0.2
3835,3835,widgetsnbextension-3.6.1,3,4.20E-05,0.00097,69,6.108524457,20,7.821928095,0.671641247,H,T,T,0.2
4673,4673,pyproject-hooks-1.0.0,3,5.60E-05,0.0011,2,1,20,7.821928095,0.636793978,H,T,T,0.2
5620,5620,keystoneauth1-3.14.0,16,6.50E-05,0.00507,33,5.044394119,20,7.821928095,0.671641247,H,T,T,0.2
6040,6040,oslo-context-5.1.1,8,5.40E-05,0.00313,4,2,20,7.821928095,0.671641247,H,T,T,0.2
11386,11386,pytz-2022.1,3,6.10E-05,0.00153,1,0,20,7.821928095,0.786790187,H,T,T,0.2
226,226,pyquery-2.0.0,12,0.000177,0.00475,3,1.584962501,19,7.747927513,0.860643402,H,T,T,0.19
451,451,jupyter-console-6.6.3,10,4.30E-05,0.00083,37,5.209453366,19,7.747927513,0.671641247,H,T,T,0.19
455,455,ipywidgets-7.7.2,8,4.40E-05,0.00129,71,6.14974712,19,7.747927513,0.650128916,H,T,T,0.19
456,456,jupyter-console-6.4.4,6,4.30E-05,0.00083,24,4.584962501,19,7.747927513,0.671641247,H,T,T,0.19
459,459,jupyter-console-6.4.2,6,4.30E-05,0.00083,37,5.209453366,19,7.747927513,0.671641247,H,T,T,0.19
461,461,notebook-5.7.16,15,5.30E-05,0.00129,70,6.129283017,19,7.747927513,0.671641247,H,T,T,0.19
696,696,flask-2.0.3,9,7.90E-05,0.00216,10,3.321928095,19,7.747927513,0.763313977,H,T,T,0.19
857,857,boto3-1.21.38,12,6.20E-05,0.00388,23,4.523561956,19,7.747927513,0.49978448,L,T,T,0.19
858,858,botocore-stubs-1.24.38,9,6.30E-05,0.00404,2,1,19,7.747927513,0.819958265,H,T,T,0.19
873,873,mypy-boto3-cloudformation-1.21.34,2,4.00E-05,0.00062,2,1,19,7.747927513,0.744369047,H,T,T,0.19
874,874,mypy-boto3-dynamodb-1.21.34,2,4.00E-05,0.00062,2,1,19,7.747927513,0.74180051,H,T,T,0.19
875,875,mypy-boto3-ec2-1.21.46,2,4.00E-05,0.00062,2,1,19,7.747927513,0.737903656,H,T,T,0.19
876,876,mypy-boto3-lambda-1.21.35,2,4.00E-05,0.00062,2,1,19,7.747927513,0.743485035,H,T,T,0.19
877,877,mypy-boto3-rds-1.21.44,2,4.00E-05,0.00062,2,1,19,7.747927513,0.741216779,H,T,T,0.19
878,878,mypy-boto3-s3-1.21.34,2,4.00E-05,0.00062,2,1,19,7.747927513,0.745243653,H,T,T,0.19
879,879,mypy-boto3-sqs-1.21.34,2,4.00E-05,0.00062,2,1,19,7.747927513,0.745694262,H,T,T,0.19
884,884,humanize-4.4.0,1,4.50E-05,0.00062,1,0,19,7.747927513,0.581137313,H,T,T,0.19
948,948,pypng-0.20220715.0,4,0.000113,0.00207,1,0,19,7.747927513,0.671641247,H,T,T,0.19
1089,1089,pymeeus-0.5.12,2,0.000105,0.00108,1,0,19,7.747927513,0.801104478,H,T,T,0.19
1195,1195,autobahn-23.1.2,17,0.000104,0.00477,24,4.584962501,19,7.747927513,0.555220871,H,T,T,0.19
1274,1274,hpack-3.0.0,2,0.0001,0.00107,1,0,19,7.747927513,0.75988039,H,T,T,0.19
1302,1302,sentry-sdk-1.19.1,17,0.000118,0.00562,32,5,19,7.747927513,0.597955601,H,T,T,0.19
1409,1409,gpxpy-1.5.0,16,0.000237,0.00736,1,0,19,7.747927513,0.734083011,H,T,T,0.19
1530,1530,pydispatcher-2.0.7,5,7.00E-05,0.00246,1,0,19,7.747927513,0.684642318,H,T,T,0.19
1585,1585,configargparse-1.5.3,13,9.60E-05,0.00608,1,0,19,7.747927513,0.608540586,H,T,T,0.19
1941,1941,transformers-4.28.1,28,0.000119,0.00692,41,5.357552005,19,7.747927513,0.51401099,H,T,T,0.19
1972,1972,py4j-0.10.9.7,4,0.000136,0.00212,1,0,19,7.747927513,0.671641247,H,T,T,0.19
2079,2079,marshmallow-3.9.1,2,8.50E-05,0.00103,1,0,19,7.747927513,0.675180959,H,T,T,0.19
2603,2603,isort-5.12.0,10,0.000105,0.00482,1,0,19,7.747927513,0.638005231,H,T,T,0.19
2723,2723,repoze-lru-0.7,5,8.00E-05,0.00246,1,0,19,7.747927513,0.671641247,H,T,T,0.19
2975,2975,venusian-3.0.0,3,0.000105,0.00171,1,0,19,7.747927513,0.68258844,H,T,T,0.19
3088,3088,jaraco-functools-3.6.0,5,0.000116,0.00201,2,1,19,7.747927513,0.781191529,H,T,T,0.19
3530,3530,pybind11-2.10.4,13,0.000197,0.00605,1,0,19,7.747927513,0.699316373,H,T,T,0.19
3663,3663,etils-1.2.0,12,6.20E-05,0.00304,6,2.584962501,19,7.747927513,0.662135495,H,T,T,0.19
3923,3923,eth-abi-2.2.0,11,7.10E-05,0.00397,9,3.169925001,19,7.747927513,0.622011937,H,T,T,0.19
4671,4671,build-0.10.0,9,6.80E-05,0.0029,4,2,19,7.747927513,0.767533877,H,T,T,0.19
6041,6041,pyinotify-0.9.6,2,5.20E-05,0.00119,1,0,19,7.747927513,0.64500788,H,T,T,0.19
9369,9369,aws-cdk-aws-iam-1.198.1,25,0.000112,0.00921,19,4.247927513,19,7.747927513,0.439249359,L,T,T,0.19
223,223,hy-0.26.0,17,0.000422,0.0074,2,1,18,7.669925001,0.805366036,H,T,T,0.18
351,351,omegaconf-2.3.0,5,0.000118,0.0017,3,1.584962501,18,7.669925001,0.615846912,H,T,T,0.18
447,447,jupyter-1.0.0,31,0.000131,0.00779,169,7.400879436,18,7.669925001,0.671641247,H,T,T,0.18
549,549,geographiclib-2.0,2,0.000124,0.00116,1,0,18,7.669925001,0.671641247,H,T,T,0.18
853,853,accept-types-0.4.1,7,5.70E-05,0.00342,1,0,18,7.669925001,0.671641247,H,T,T,0.18
855,855,aiohttp-remotes-1.2.0,9,5.70E-05,0.00342,27,4.754887502,18,7.669925001,0.795327896,H,T,T,0.18
856,856,boto3-stubs-1.21.38,16,5.70E-05,0.00342,10,3.321928095,18,7.669925001,0.728184287,H,T,T,0.18
861,861,heaobject-1.0.0a52,12,5.70E-05,0.00342,14,3.807354922,18,7.669925001,0.671641247,H,T,T,0.18
862,862,jsonmerge-1.8.0,9,5.70E-05,0.00342,21,4.392317423,18,7.669925001,0.800465581,H,T,T,0.18
864,864,mongoquery-1.3.6,8,5.70E-05,0.00342,2,1,18,7.669925001,0.793654985,H,T,T,0.18
865,865,motor-2.5.1,8,5.70E-05,0.00342,2,1,18,7.669925001,0.741832536,H,T,T,0.18
866,866,regex-2022.4.24,7,5.70E-05,0.00342,1,0,18,7.669925001,0.382117397,L,T,T,0.18
1086,1086,convertdate-2.4.0,6,7.50E-05,0.00255,2,1,18,7.669925001,0.640772887,H,T,T,0.18
1307,1307,graphene-django-3.0.0,23,0.000236,0.00782,12,3.584962501,18,7.669925001,0.676930227,H,T,T,0.18
1479,1479,scrypt-0.8.20,9,5.80E-05,0.00429,1,0,18,7.669925001,0.70522695,H,T,T,0.18
1494,1494,opencv-contrib-python-4.7.0.72,10,9.00E-05,0.00388,3,1.584962501,18,7.669925001,0.574190173,H,T,T,0.18
1582,1582,pyzmq-22.3.0,8,6.50E-05,0.004,1,0,18,7.669925001,0.530916382,H,T,T,0.18
1715,1715,mock-5.0.2,13,0.000104,0.00603,1,0,18,7.669925001,0.595581417,H,T,T,0.18
1797,1797,pytest-5.0.1,18,0.00019,0.00436,12,3.584962501,18,7.669925001,0.456905797,L,T,T,0.18
1889,1889,colour-0.1.5,9,9.80E-05,0.00429,1,0,18,7.669925001,0.647011602,H,T,T,0.18
2077,2077,marshmallow-enum-1.5.1,7,9.50E-05,0.00249,8,3,18,7.669925001,0.671641247,H,T,T,0.18
2934,2934,plumbum-1.8.1,7,0.000165,0.00333,1,0,18,7.669925001,0.714004146,H,T,T,0.18
3090,3090,autocommand-2.2.2,2,6.60E-05,0.001,1,0,18,7.669925001,0.666641701,H,T,T,0.18
3490,3490,importlib-metadata-6.0.1,2,8.60E-05,0.00071,2,1,18,7.669925001,0.738331031,H,T,T,0.18
3716,3716,msgpack-python-0.5.6,12,0.000146,0.00569,1,0,18,7.669925001,0.671641247,H,T,T,0.18
3946,3946,uncertainties-3.1.7,10,6.70E-05,0.00384,3,1.584962501,18,7.669925001,0.689263849,H,T,T,0.18
3951,3951,boto-2.49.0,12,0.000179,0.00557,1,0,18,7.669925001,0.49978448,L,T,T,0.18
4333,4333,botocore-1.20.112,9,0.00016,0.00299,17,4.087462841,18,7.669925001,0.294020913,L,T,T,0.18
5502,5502,monotonic-1.6,7,7.80E-05,0.0034,1,0,18,7.669925001,0.636503748,H,T,T,0.18
5557,5557,pyethash-0.1.27,4,4.80E-05,0.00196,1,0,18,7.669925001,0.762781621,H,T,T,0.18
5623,5623,requestsexceptions-1.4.0,2,4.30E-05,0.00108,1,0,18,7.669925001,0.671641247,H,T,T,0.18
185,185,twine-4.0.2,26,0.000113,0.00702,62,5.95419631,17,7.587462841,0.627062931,H,T,T,0.17
328,328,python-magic-0.4.27,11,0.000111,0.00514,1,0,17,7.587462841,0.59347194,H,T,T,0.17
344,344,websockets-8.1,9,9.20E-05,0.00425,1,0,17,7.587462841,0.616334727,H,T,T,0.17
693,693,dash-core-components-2.0.0,4,6.30E-05,0.00214,1,0,17,7.587462841,0.694344765,H,T,T,0.17
694,694,dash-html-components-2.0.0,4,6.30E-05,0.00214,1,0,17,7.587462841,0.746154305,H,T,T,0.17
695,695,dash-table-5.0.0,3,6.10E-05,0.00168,1,0,17,7.587462841,0.564509524,H,T,T,0.17
720,720,python-jose-3.3.0,17,0.000142,0.00514,11,3.459431619,17,7.587462841,0.744004251,H,T,T,0.17
832,832,pyrxp-3.0.1,2,5.00E-05,0.00112,1,0,17,7.587462841,0.671641247,H,T,T,0.17
1006,1006,unicodecsv-0.14.1,11,9.50E-05,0.00525,1,0,17,7.587462841,0.702218085,H,T,T,0.17
1075,1075,thrift-0.16.0,11,0.000144,0.00427,3,1.584962501,17,7.587462841,0.671641247,H,T,T,0.17
1206,1206,singledispatch-4.0.0,8,9.40E-05,0.00383,1,0,17,7.587462841,0.699763132,H,T,T,0.17
1411,1411,einops-0.6.0,14,0.000224,0.00649,1,0,17,7.587462841,0.621801854,H,T,T,0.17
1608,1608,python-utils-3.5.2,3,0.000142,0.00166,1,0,17,7.587462841,0.628213729,H,T,T,0.17
1717,1717,orderedmultidict-1.0.1,3,0.000106,0.00122,2,1,17,7.587462841,0.789826295,H,T,T,0.17
1784,1784,rdflib-5.0.0,11,0.000117,0.00338,5,2.321928095,17,7.587462841,0.68293017,H,T,T,0.17
1846,1846,brotlipy-0.7.0,9,7.10E-05,0.00336,6,2.584962501,17,7.587462841,0.75907948,H,T,T,0.17
2181,2181,termcolor-1.1.0,13,0.000154,0.00603,1,0,17,7.587462841,0.758324166,H,T,T,0.17
2194,2194,tabulate-0.8.10,12,0.000124,0.00553,1,0,17,7.587462841,0.646809249,H,T,T,0.17
2263,2263,aiosqlite-0.18.0,4,5.20E-05,0.0019,1,0,17,7.587462841,0.831619249,H,T,T,0.17
2404,2404,semver-3.0.0,7,7.30E-05,0.0034,1,0,17,7.587462841,0.671645522,H,T,T,0.17
2522,2522,pandas-1.4.4,10,5.80E-05,0.00301,7,2.807354922,17,7.587462841,0.820746042,H,T,T,0.17
2803,2803,dataclasses-0.6,12,0.000155,0.00557,1,0,17,7.587462841,0.780690843,H,T,T,0.17
2890,2890,jinja2-3.1.1,10,7.40E-05,0.00448,2,1,17,7.587462841,0.785435104,H,T,T,0.17
2903,2903,requests-toolbelt-0.9.1,19,0.000105,0.00651,50,5.64385619,17,7.587462841,0.649785712,H,T,T,0.17
2973,2973,plaster-1.1.2,2,8.00E-05,0.00126,1,0,17,7.587462841,0.805602846,H,T,T,0.17
2987,2987,trove-classifiers-2023.3.9,2,6.90E-05,0.00118,1,0,17,7.587462841,0.658613992,H,T,T,0.17
3121,3121,tornado-4.5.3,9,0.000139,0.00429,1,0,17,7.587462841,0.551278058,H,T,T,0.17
3488,3488,opentelemetry-api-1.17.0,14,0.00018,0.00532,6,2.584962501,17,7.587462841,0.540125436,H,T,T,0.17
3525,3525,billiard-3.6.4.0,2,5.20E-05,0.00118,1,0,17,7.587462841,0.842443724,H,T,T,0.17
3607,3607,zeroconf-0.56.0,11,0.000127,0.00381,4,2,17,7.587462841,0.700618281,H,T,T,0.17
3627,3627,flake8-3.9.0,14,0.000277,0.00536,4,2,17,7.587462841,0.831782865,H,T,T,0.17
3928,3928,multiaddr-0.0.9,8,8.70E-05,0.00192,5,2.321928095,17,7.587462841,0.754544679,H,T,T,0.17
4553,4553,nibabel-5.1.0,18,9.90E-05,0.00703,4,2,17,7.587462841,0.843481875,H,T,T,0.17
5929,5929,urwid-2.1.2,10,0.00019,0.0047,1,0,17,7.587462841,0.671641247,H,T,T,0.17
6038,6038,oslo-log-5.2.0,21,7.40E-05,0.00575,56,5.807354922,17,7.587462841,0.671641247,H,T,T,0.17
7397,7397,vine-1.3.0,4,0.000176,0.00194,1,0,17,7.587462841,0.686072009,H,T,T,0.17
10771,10771,jinja2-3.0.1,5,6.00E-05,0.00201,2,1,17,7.587462841,0.785435104,H,T,T,0.17
109,109,eth-keys-0.4.0,9,8.00E-05,0.00339,8,3,16,7.5,0.63623757,H,T,T,0.16
111,111,rlp-3.0.0,8,7.30E-05,0.00341,8,3,16,7.5,0.756683995,H,T,T,0.16
287,287,tinydb-4.7.1,11,0.000132,0.0051,1,0,16,7.5,0.644621368,H,T,T,0.16
348,348,hydra-core-1.3.2,18,0.000249,0.00686,5,2.321928095,16,7.5,0.703524982,H,T,T,0.16
547,547,geopy-2.3.0,12,9.30E-05,0.00512,2,1,16,7.5,0.671641247,H,T,T,0.16
830,830,lscsoft-glue-3.0.1,13,6.30E-05,0.00408,12,3.584962501,16,7.5,0.671641247,H,T,T,0.16
839,839,safe-netrc-1.0.1,2,6.80E-05,0.00098,1,0,16,7.5,0.662678402,H,T,T,0.16
846,846,pyglet-2.0.5,12,0.000116,0.00555,1,0,16,7.5,0.539687989,H,T,T,0.16
870,870,aiormq-6.4.2,3,5.80E-05,0.00059,9,3.169925001,16,7.5,0.608508499,H,T,T,0.16
1028,1028,click-log-0.4.0,11,8.00E-05,0.00423,3,1.584962501,16,7.5,0.798256024,H,T,T,0.16
1087,1087,hijri-converter-2.2.4,3,7.30E-05,0.00153,1,0,16,7.5,0.675220291,H,T,T,0.16
1629,1629,ratelimit-2.2.1,8,9.10E-05,0.00372,1,0,16,7.5,0.663913118,H,T,T,0.16
1631,1631,xlwt-1.3.0,8,7.40E-05,0.00372,1,0,16,7.5,0.671641247,H,T,T,0.16
1746,1746,guillotina-6.4.2,34,0.00022,0.0069,47,5.554588852,16,7.5,0.689415171,H,T,T,0.16
1883,1883,pypdf2-3.0.1,12,8.50E-05,0.00555,1,0,16,7.5,0.690325876,H,T,T,0.16
1895,1895,olefile-0.46,5,7.20E-05,0.00238,1,0,16,7.5,0.761452775,H,T,T,0.16
2032,2032,nvidia-ml-py-11.525.112,2,7.90E-05,0.00107,1,0,16,7.5,0.671641247,H,T,T,0.16
2972,2972,hupper-1.12,1,5.60E-05,0.00077,1,0,16,7.5,0.779050921,H,T,T,0.16
2974,2974,plaster-pastedeploy-1.0.1,3,5.60E-05,0.00077,3,1.584962501,16,7.5,0.809354875,H,T,T,0.16
3306,3306,jsonref-1.1.0,7,6.40E-05,0.00331,1,0,16,7.5,0.780124423,H,T,T,0.16
3419,3419,zope-lifecycleevent-4.4,9,5.20E-05,0.00306,4,2,16,7.5,0.684935521,H,T,T,0.16
3527,3527,amqp-5.1.1,3,5.90E-05,0.00105,2,1,16,7.5,0.576989575,H,T,T,0.16
4341,4341,multipledispatch-0.6.0,9,0.000101,0.00384,2,1,16,7.5,0.761727319,H,T,T,0.16
4540,4540,path-16.6.0,1,0.00015,0.00068,1,0,16,7.5,0.898719747,H,T,T,0.16
5267,5267,opentelemetry-instrumentation-0.27b0,18,0.000155,0.00723,5,2.321928095,16,7.5,0.671641247,H,T,T,0.16
5428,5428,pillow-9.0.1,3,4.20E-05,0.00151,1,0,16,7.5,0.390081507,L,T,T,0.16
5619,5619,openstacksdk-1.0.1,17,7.10E-05,0.00155,47,5.554588852,16,7.5,0.671641247,H,T,T,0.16
8059,8059,support-developer-1.0.5,8,0.000283,0.00398,1,0,16,7.5,0.758420339,H,T,T,0.16
11392,11392,traitlets-5.1.1,11,0.000171,0.00588,1,0,16,7.5,0.631618188,H,T,T,0.16
11647,11647,itsdangerous-2.0.1,2,5.20E-05,0.00107,1,0,16,7.5,0.877979849,H,T,T,0.16
280,280,pandas-1.4.2,9,4.90E-05,0.00209,8,3,15,7.406890596,0.820746042,H,T,T,0.15
367,367,colorful-0.5.5,5,8.10E-05,0.00244,1,0,15,7.406890596,0.923863573,H,T,T,0.15
416,416,mutagen-1.46.0,7,0.000137,0.00338,1,0,15,7.406890596,0.743698562,H,T,T,0.15
854,854,aio-pika-8.1.0,8,5.30E-05,0.00292,10,3.321928095,15,7.406890596,0.570470172,H,T,T,0.15
860,860,freezegun-1.0.0,7,5.30E-05,0.00292,4,2,15,7.406890596,0.714028646,H,T,T,0.15
977,977,hat-util-0.6.9,11,0.000164,0.00551,1,0,15,7.406890596,0.694412484,H,T,T,0.15
1044,1044,pyee-8.2.2,1,4.60E-05,0.00057,1,0,15,7.406890596,0.831781613,H,T,T,0.15
1088,1088,korean-lunar-calendar-0.3.1,2,5.80E-05,0.00107,1,0,15,7.406890596,0.683837011,H,T,T,0.15
1172,1172,python-daemon-3.0.1,10,0.00012,0.00331,4,2,15,7.406890596,0.671641247,H,T,T,0.15
1424,1424,docstring-parser-0.15,5,7.80E-05,0.00246,1,0,15,7.406890596,0.633472179,H,T,T,0.15
1477,1477,langdetect-1.0.9,12,8.00E-05,0.00509,2,1,15,7.406890596,0.783539769,H,T,T,0.15
1512,1512,progress-1.6,9,8.90E-05,0.00423,1,0,15,7.406890596,0.847170263,H,T,T,0.15
1528,1528,parsel-1.7.0,12,7.60E-05,0.00381,5,2.321928095,15,7.406890596,0.734073436,H,T,T,0.15
1559,1559,setproctitle-1.3.2,9,0.000135,0.00422,1,0,15,7.406890596,0.664442386,H,T,T,0.15
1690,1690,altair-4.2.2,14,6.50E-05,0.00336,38,5.247927513,15,7.406890596,0.690604046,H,T,T,0.15
1714,1714,furl-2.1.3,16,9.70E-05,0.0064,3,1.584962501,15,7.406890596,0.77057405,H,T,T,0.15
1986,1986,zope-deferredimport-4.4,8,6.10E-05,0.00295,4,2,15,7.406890596,0.68766375,H,T,T,0.15
2239,2239,zope-tales-5.2,6,4.60E-05,0.00158,4,2,15,7.406890596,0.676554593,H,T,T,0.15
2629,2629,semver-2.13.0,7,9.50E-05,0.00336,1,0,15,7.406890596,0.671645522,H,T,T,0.15
2889,2889,click-8.1.0,2,4.70E-05,0.00099,1,0,15,7.406890596,0.786075881,H,T,T,0.15
2891,2891,prompt-toolkit-3.0.28,3,4.70E-05,0.00099,2,1,15,7.406890596,0.533771177,H,T,T,0.15
2960,2960,pyramid-2.0.1,23,0.000228,0.0066,11,3.459431619,15,7.406890596,0.636867956,H,T,T,0.15
3091,3091,jaraco-context-4.3.0,1,4.90E-05,0.0005,1,0,15,7.406890596,0.784840463,H,T,T,0.15
3092,3092,tempora-5.2.2,5,0.000114,0.00146,4,2,15,7.406890596,0.691963829,H,T,T,0.15
3151,3151,argh-0.28.1,7,0.000155,0.00335,1,0,15,7.406890596,0.738019344,H,T,T,0.15
3265,3265,qdldl-0.1.7,5,5.80E-05,0.00101,9,3.169925001,15,7.406890596,0.802990579,H,T,T,0.15
3360,3360,asdf-standard-1.0.3,3,0.000128,0.00161,1,0,15,7.406890596,0.623652742,H,T,T,0.15
3526,3526,kombu-5.2.4,6,5.20E-05,0.00207,3,1.584962501,15,7.406890596,0.671641247,H,T,T,0.15
3690,3690,raven-6.10.0,11,0.000139,0.0042,12,3.584962501,15,7.406890596,0.645435096,H,T,T,0.15
3907,3907,flask-sqlalchemy-3.0.3,8,6.30E-05,0.00292,14,3.807354922,15,7.406890596,0.554159994,H,T,T,0.15
4539,4539,path-py-12.5.0,11,0.000135,0.00477,2,1,15,7.406890596,0.891314342,H,T,T,0.15
5467,5467,hat-util-0.5.10,12,0.000218,0.00599,1,0,15,7.406890596,0.694412484,H,T,T,0.15
5621,5621,openstacksdk-0.26.0,19,6.10E-05,0.00203,44,5.459431619,15,7.406890596,0.671641247,H,T,T,0.15
6358,6358,tornado-6.1,8,8.30E-05,0.00409,1,0,15,7.406890596,0.551278058,H,T,T,0.15
7611,7611,traits-6.4.1,12,0.000226,0.00591,1,0,15,7.406890596,0.63681676,H,T,T,0.15
8681,8681,flask-1.0.2,14,0.000125,0.00338,10,3.321928095,15,7.406890596,0.763313977,H,T,T,0.15
8848,8848,pytools-2022.1.14,14,0.00019,0.00596,3,1.584962501,15,7.406890596,0.812442757,H,T,T,0.15
87,87,pysha3-1.0.2,7,9.80E-05,0.00335,1,0,14,7.307354922,0.800161212,H,T,T,0.14
354,354,jsonlines-3.1.0,7,5.60E-05,0.00238,3,1.584962501,14,7.307354922,0.651731411,H,T,T,0.14
368,368,gpustat-1.1,10,0.000121,0.00333,6,2.584962501,14,7.307354922,0.764192151,H,T,T,0.14
590,590,future-0.18.2,5,0.00011,0.00249,1,0,14,7.307354922,0.671641247,H,T,T,0.14
598,598,logzero-1.7.0,11,0.000103,0.00509,1,0,14,7.307354922,0.779158956,H,T,T,0.14
840,840,scitokens-1.7.4,4,5.00E-05,0.0005,10,3.321928095,14,7.307354922,0.774187156,H,T,T,0.14
1042,1042,pyppeteer-1.0.2,14,0.000115,0.00248,22,4.459431619,14,7.307354922,0.743682108,H,T,T,0.14
1134,1134,fast-histogram-0.11,3,5.00E-05,0.00096,2,1,14,7.307354922,0.650372594,H,T,T,0.14
1265,1265,anytree-2.8.0,13,0.00011,0.00553,2,1,14,7.307354922,0.761463061,H,T,T,0.14
1322,1322,globus-sdk-3.19.0,14,0.000187,0.00514,31,4.95419631,14,7.307354922,0.757419614,H,T,T,0.14
1453,1453,json5-0.9.11,4,4.50E-05,0.00186,1,0,14,7.307354922,0.831881294,H,T,T,0.14
1561,1561,click-7.0,12,0.000133,0.00551,1,0,14,7.307354922,0.786075881,H,T,T,0.14
1611,1611,colored-1.4.4,10,0.000107,0.00462,1,0,14,7.307354922,0.671641247,H,T,T,0.14
1644,1644,pyopenssl-19.1.0,7,8.30E-05,0.00196,7,2.807354922,14,7.307354922,0.687555257,H,T,T,0.14
1893,1893,parsedatetime-2.6,8,8.90E-05,0.00377,1,0,14,7.307354922,0.743418583,H,T,T,0.14
1912,1912,rich-click-1.6.1,10,6.80E-05,0.00322,12,3.584962501,14,7.307354922,0.623207148,H,T,T,0.14
1917,1917,xxhash-3.2.0,6,5.50E-05,0.00294,1,0,14,7.307354922,0.664263419,H,T,T,0.14
2238,2238,zope-tal-5.0.1,7,5.30E-05,0.00203,4,2,14,7.307354922,0.674278794,H,T,T,0.14
2284,2284,attrdict-2.0.1,9,0.000121,0.00375,2,1,14,7.307354922,0.796203348,H,T,T,0.14
2570,2570,pox-0.3.2,2,5.70E-05,0.00109,1,0,14,7.307354922,0.951928945,H,T,T,0.14
2571,2571,ppft-1.7.6.6,2,5.70E-05,0.00109,1,0,14,7.307354922,0.952703423,H,T,T,0.14
2626,2626,dulwich-0.21.3,10,0.000153,0.00423,13,3.700439718,14,7.307354922,0.607677935,H,T,T,0.14
2633,2633,paramiko-2.12.0,11,0.000112,0.00288,9,3.169925001,14,7.307354922,0.669730769,H,T,T,0.14
2888,2888,click-repl-0.2.0,8,5.00E-05,0.00159,7,2.807354922,14,7.307354922,0.768350743,H,T,T,0.14
2930,2930,pyelftools-0.29,5,8.80E-05,0.00238,1,0,14,7.307354922,0.721939503,H,T,T,0.14
2986,2986,editables-0.3,1,6.70E-05,0.00068,1,0,14,7.307354922,0.684086472,H,T,T,0.14
3015,3015,cfgv-3.3.1,7,6.80E-05,0.00335,1,0,14,7.307354922,0.661627233,H,T,T,0.14
3063,3063,numcodecs-0.11.0,9,6.70E-05,0.0029,4,2,14,7.307354922,0.589445085,H,T,T,0.14
3089,3089,jaraco-text-3.11.1,7,8.40E-05,0.00101,16,4,14,7.307354922,0.783130791,H,T,T,0.14
3242,3242,click-didyoumean-0.3.0,5,5.50E-05,0.00203,2,1,14,7.307354922,0.671641247,H,T,T,0.14
3342,3342,ephem-4.1.4,5,0.000103,0.0024,1,0,14,7.307354922,0.581849179,H,T,T,0.14
3418,3418,zope-annotation-5.0,9,5.50E-05,0.00194,11,3.459431619,14,7.307354922,0.689903651,H,T,T,0.14
3481,3481,fastcore-1.5.29,10,0.0001,0.0034,4,2,14,7.307354922,0.593281123,H,T,T,0.14
4331,4331,botocore-1.19.63,6,8.90E-05,0.00155,17,4.087462841,14,7.307354922,0.294020913,L,T,T,0.14
4334,4334,botocore-1.15.49,7,9.00E-05,0.00155,7,2.807354922,14,7.307354922,0.294020913,L,T,T,0.14
5849,5849,astropy-healpix-0.7,7,6.40E-05,0.00238,8,3,14,7.307354922,0.771672795,H,T,T,0.14
6242,6242,param-1.13.0,7,0.000201,0.00359,1,0,14,7.307354922,0.604805672,H,T,T,0.14
