Label,Degree
numpy-1.24.2,1927
requests-2.28.2,1915
six-1.16.0,893
pandas-2.0.0,849
scipy-1.10.1,819
matplotlib-3.7.1,655
pyyaml-6.0,630
click-8.1.3,587
setuptools-67.6.1,435
python-dateutil-2.8.2,404
tqdm-4.65.0,393
lxml-4.9.2,291
scikit-learn-1.2.2,278
packaging-23.1,273
pillow-9.5.0,268
jinja2-3.1.2,268
typing-extensions-4.5.0,267
protobuf-4.22.3,254
aiohttp-3.8.4,243
beautifulsoup4-4.12.2,243
urllib3-1.26.15,223
numpy-1.23.5,219
pytz-2023.3,200
