Package,Overall,FinalRiskScore,Score
locust,5.3,0.517375745,88
plexapi,5.3,0.732834531,85
idna,5.27,0.638660348,78
gunicorn,5.27,0.643029065,94
responses,5.27,0.572888303,97
tablib,5.27,0.635814048,94
tensorboard,5.24,0.568396287,91
jupyterlab,5.24,0.566267465,97
tensorboard-data-server,5.24,0.572926092,91
streamlit,5.24,0.594815486,97
aiobotocore,5.22,0.727407448,97
omegaconf,5.22,0.615846912,91
google-auth-oauthlib,5.19,0.611642131,94
etils,5.19,0.662135495,87
opentelemetry-propagator-aws-xray,5.19,0.678719643,79
awscli,5.16,0.248354428,96
filelock,5.16,0.60816995,91
soupsieve,5.16,0.703829253,79
proto-plus,5.16,0.671641247,94
xgboost,5.16,0.54611256,91
twine,5.16,0.627062931,94
bidict,5.16,0.671641247,83
pymemcache,5.16,0.713679766,86
pluggy,5.14,0.606995648,91
importlib-resources,5.14,0.75712155,91
scikit-learn,5.14,0.356249168,94
uvicorn,5.14,0.608885295,91
starlette,5.14,0.671641247,97
lightgbm,5.14,0.507142998,100
inflect,5.14,0.755011167,91
flask-login,5.14,0.698140858,86
singledispatch,5.14,0.699763132,78
path,5.14,0.898719747,77
mutagen,5.14,0.743698562,88
python-arango,5.14,0.618810028,88
hubspot-api-client,5.14,0.763423167,85
path-py,5.14,0.891314342,62
photutils,5.14,0.717416842,87
pyodbc,5.11,0.71683541,87
optuna,5.11,0.659978473,91
playwright,5.11,0.606848521,94
versioneer,5.11,0.747156775,85
acme,5.11,0.584622174,97
pyqtgraph,5.11,0.662429305,90
snakemake,5.11,0.562160357,87
msgpack,5.08,0.713972512,88
websockets,5.08,0.616334727,89
jax,5.08,0.613171684,91
jaxlib,5.08,0.61289332,91
rdflib,5.08,0.68293017,97
pydeck,5.08,0.640762382,83
ipython,5.05,0.544012126,94
tokenizers,5.05,0.614749671,91
yapf,5.05,0.621270426,100
google-cloud-spanner,5.05,0.720253293,90
stripe,5.05,0.583135689,91
splunk-sdk,5.05,0.647359955,91
keyrings-alt,5.05,0.773690874,74
awscrt,5.05,0.527929849,87
pymc,5.05,0.776050493,93
pvlib,5.05,0.699157277,87
pyvista,5.05,0.69499369,93
google-resumable-media,5.03,0.74753947,91
poetry-core,5.03,0.723829422,88
networkx,5.03,0.754782163,93
loguru,5.03,0.744367707,91
djangorestframework,5.03,0.595628735,90
elasticsearch-dsl,5.03,0.572691925,94
glances,5.03,0.529146083,87
fastjsonschema,5.0,0.623954964,85
prettytable,5.0,0.602025752,97
yamllint,5.0,0.646092417,90
itsdangerous,4.97,0.877979849,87
python-utils,4.97,0.628213729,84
notebook,4.97,0.671641247,94
jupyterlab-server,4.97,0.600927289,94
pytest-xdist,4.97,0.575409876,90
numexpr,4.97,0.681234555,91
geopandas,4.97,0.671641247,97
kornia,4.97,0.529019385,94
google-cloud-build,4.97,0.76406621,88
python-telegram-bot,4.97,0.655306268,97
google-analytics-data,4.97,0.771825821,90
homeassistant,4.97,0.671641247,93
setuptools,4.95,0.400968822,73
pyyaml,4.95,0.582502359,88
packaging,4.95,0.593759389,97
google-cloud-core,4.95,0.74518312,91
gitdb,4.95,0.671641247,85
hvac,4.95,0.679661315,97
google-cloud-datastore,4.95,0.739163192,90
google-cloud-bigtable,4.95,0.721929491,90
pydriller,4.95,0.747360474,85
pytype,4.95,0.678702986,94
apprise,4.95,0.731503666,85
libpysal,4.95,0.741479444,84
cwl-upgrader,4.95,0.792934246,76
pymysql,4.92,0.845259904,94
zope-interface,4.92,0.499574396,91
apache-airflow,4.92,0.407805441,91
apache-airflow-providers-common-sql,4.92,0.555683084,94
distributed,4.92,0.618979769,91
apache-airflow-providers-http,4.92,0.554740784,91
apache-airflow-providers-imap,4.92,0.554889477,91
apache-airflow-providers-ftp,4.92,0.418313998,91
apache-airflow-providers-sqlite,4.92,0.417826281,91
pillow-heif,4.92,0.777266336,84
fsspec,4.89,0.68849028,94
mypy-extensions,4.89,0.763906219,88
docker,4.89,0.620656234,87
asttokens,4.89,0.775663731,88
pendulum,4.89,0.696941211,78
pre-commit,4.89,0.551639864,94
readme-renderer,4.89,0.612990947,91
pandas-gbq,4.89,0.741566921,86
kfp-pipeline-spec,4.89,0.632609497,87
jira,4.89,0.780184612,94
qtpy,4.89,0.853456494,94
cookiecutter,4.89,0.652367718,97
backports-functools-lru-cache,4.89,0.780299059,75
inquirer,4.89,0.820782724,86
rtree,4.89,0.86258521,81
google-cloud-pipeline-components,4.89,0.633362505,85
databases,4.89,0.733877107,87
onnxmltools,4.89,0.746143232,71
asteval,4.89,0.756814625,76
azure-iot-device,4.89,0.617857289,71
grafanalib,4.89,0.580414526,80
docker-py,4.89,0.485767502,72
sqlalchemy,4.86,0.223702889,100
aiosignal,4.86,0.648895329,85
rapidfuzz,4.86,0.6027596,91
sentencepiece,4.86,0.629722311,92
ecdsa,4.86,0.603893034,81
firebase-admin,4.86,0.602244847,91
nibabel,4.86,0.843481875,83
google-cloud-asset,4.86,0.745429546,81
greenlet,4.84,0.548385084,91
jedi,4.84,0.827410856,94
bleach,4.84,0.700609564,97
behave,4.84,0.720314872,71
channels,4.84,0.660216023,89
pdoc,4.84,0.739038915,88
mock-alchemy,4.84,0.818673725,72
keyring,4.81,0.843216525,88
smart-open,4.81,0.640032384,94
identify,4.81,0.565114526,91
datasets,4.81,0.625855725,97
globus-sdk,4.81,0.757419614,88
mkdocs,4.81,0.535289559,94
pikepdf,4.81,0.588028877,85
petl,4.81,0.709899682,91
prawcore,4.81,0.763753818,81
pip,4.78,0.446073866,96
virtualenv,4.78,0.590201526,100
jsonschema,4.78,0.566904786,91
wcwidth,4.78,0.704142681,85
markdown,4.78,0.859538872,100
tornado,4.78,0.551278058,94
fastapi,4.78,0.509274366,88
argcomplete,4.78,0.722857057,91
pip-tools,4.78,0.5123354,100
icalendar,4.78,0.70925116,91
libtmux,4.78,0.743729415,85
cerberus,4.76,0.730056999,88
xsdata,4.76,0.70645559,78
itables,4.76,0.792699301,76
extensionclass,4.76,0.603321003,81
jaraco-classes,4.73,0.64858105,78
google-cloud-bigquery,4.73,0.692894368,100
isort,4.73,0.638005231,91
jupyter-client,4.73,0.553183333,97
kubernetes,4.73,0.538624518,97
shapely,4.73,0.477426178,88
tox,4.73,0.758437925,97
sphinxcontrib-serializinghtml,4.73,0.671641247,81
sphinxcontrib-htmlhelp,4.73,0.72586338,81
sphinxcontrib-applehelp,4.73,0.717229958,81
sphinxcontrib-devhelp,4.73,0.671641247,82
sphinxcontrib-qthelp,4.73,0.671641247,81
brotli,4.73,0.568848542,97
celery,4.73,0.586074,94
bandit,4.73,0.701251777,95
graphene,4.73,0.673737466,91
google-cloud-trace,4.73,0.751595009,85
tempora,4.73,0.691963829,74
sphinxcontrib-websupport,4.73,0.671641247,79
pyro-ppl,4.73,0.550201233,91
rich-click,4.73,0.623207148,71
param,4.73,0.604805672,77
aiomysql,4.73,0.71658393,86
pyvisa,4.73,0.593845803,78
ibis-framework,4.73,0.552319586,93
casbin,4.73,0.731365419,82
python-dateutil,4.7,0.838665925,86
imageio,4.7,0.709105247,91
flax,4.7,0.69106403,94
gtts,4.7,0.610632281,88
immutables,4.7,0.762041104,88
pint,4.7,0.684152867,85
google-auth,4.68,0.701580505,100
alembic,4.68,0.669175488,94
humanize,4.68,0.581137313,91
phonenumbers,4.68,0.588493152,91
jellyfish,4.68,0.628239147,85
cvxpy,4.68,0.524027777,88
python-sonarqube-api,4.68,0.762477543,77
websocket-client,4.65,0.598535156,97
more-itertools,4.65,0.575406957,94
bcrypt,4.65,0.726182076,88
elasticsearch,4.65,0.542606923,100
kafka-python,4.65,0.678020028,84
google-cloud-logging,4.65,0.721365464,94
lark,4.65,0.712667054,88
librosa,4.65,0.688671585,85
asyncpg,4.65,0.704354969,88
protego,4.65,0.778563753,79
lizard,4.65,0.738034329,69
lark-parser,4.65,0.710830481,70
numpydoc,4.65,0.579132031,88
htbuilder,4.65,0.685121156,76
google-cloud-storage,4.62,0.710825813,94
pyzmq,4.62,0.530916382,97
llvmlite,4.62,0.551658628,91
tensorboardx,4.62,0.650268131,79
django-model-utils,4.62,0.707743198,87
rioxarray,4.62,0.609049237,84
clvm-tools,4.62,0.773214659,65
pyopenssl,4.59,0.687555257,96
build,4.59,0.767533877,94
huggingface-hub,4.59,0.713565762,100
geopy,4.59,0.671641247,97
funcx,4.59,0.741881957,88
tensorflow-probability,4.59,0.576844418,97
numpyro,4.59,0.577251721,82
aws-cdk-core,4.59,0.440770415,90
aws-cdk-aws-iam,4.59,0.439249359,90
pyerfa,4.59,0.611799076,65
aws-cdk-aws-kms,4.59,0.439249359,90
aws-cdk-aws-events,4.59,0.439249359,90
aws-cdk-aws-lambda,4.59,0.439249359,90
aws-cdk-aws-cloudwatch,4.59,0.439249359,90
aws-cdk-aws-logs,4.59,0.439249359,90
aws-cdk-aws-efs,4.59,0.439249359,90
art,4.59,0.786091834,88
asdf,4.59,0.588786766,87
hcloud,4.59,0.75993556,84
arrow,4.57,0.659191871,94
cattrs,4.57,0.743856859,93
types-pyyaml,4.57,0.548265657,97
dataclasses-json,4.57,0.739939059,88
types-requests,4.57,0.546815019,97
mpmath,4.57,0.695357159,87
db-dtypes,4.57,0.796416893,83
trio,4.57,0.625165286,94
outcome,4.57,0.799073753,78
types-pytz,4.57,0.54845514,97
google-cloud-pubsublite,4.57,0.763580232,91
bytecode,4.57,0.624194333,88
types-protobuf,4.57,0.547301879,94
types-python-dateutil,4.57,0.548196466,94
webdriver-manager,4.57,0.666080385,85
polars,4.57,0.49886511,94
gql,4.57,0.734047079,88
types-toml,4.57,0.54881735,94
cssutils,4.57,0.743423244,77
google-cloud-speech,4.57,0.725021669,87
restrictedpython,4.57,0.742116775,88
semgrep,4.57,0.598553913,97
trimesh,4.57,0.569220295,82
folium,4.57,0.690739067,80
urwid,4.57,0.671641247,94
types-pillow,4.57,0.547864651,94
nameparser,4.57,0.743076351,88
types-click,4.57,0.548942808,76
pytest-httpx,4.57,0.918823552,85
pyglet,4.57,0.539687989,88
imapclient,4.57,0.74342947,62
pyomo,4.57,0.688978987,88
pystac,4.57,0.722941245,87
klein,4.57,0.734998873,81
gocardless-pro,4.57,0.752663225,76
mechanicalsoup,4.57,0.603915889,78
rsa,4.54,0.742677869,78
scipy,4.54,0.337577653,94
jupyter-core,4.54,0.583393962,94
pyhamcrest,4.54,0.591003602,69
pyramid,4.54,0.636867956,88
ntc-templates,4.54,0.670333645,82
clvm,4.54,0.773215488,70
pymongo,4.51,0.131913145,94
statsmodels,4.51,0.518383165,90
torchvision,4.51,0.540535121,94
funcx-common,4.51,0.793814512,77
multimethod,4.51,0.642956166,79
torchaudio,4.51,0.591131597,97
questionary,4.51,0.88702411,85
motor,4.51,0.741832536,88
falcon,4.51,0.491275804,89
giturlparse,4.51,0.778640241,82
persistent,4.51,0.554681496,75
pygls,4.51,0.608649079,87
psutil,4.49,0.60049988,96
pynacl,4.49,0.717755926,81
fonttools,4.49,0.547940771,97
setuptools-scm,4.49,0.617739476,97
mypy,4.49,0.542346267,94
semver,4.49,0.671645522,91
pytest-mock,4.49,0.722512692,94
jsonpickle,4.49,0.742490269,94
gspread,4.49,0.831808055,94
pytest-asyncio,4.49,0.742937316,91
sh,4.49,0.644775943,88
google-cloud-vision,4.49,0.737868891,90
kazoo,4.49,0.711655423,82
datasketch,4.49,0.614696603,79
optax,4.49,0.72611119,91
django-phonenumber-field,4.49,0.847617759,91
strawberry-graphql,4.49,0.561858773,97
google-cloud-common,4.49,0.798929758,74
torch-geometric,4.49,0.569653534,78
jupyter-server-proxy,4.49,0.727113231,84
sanic-ext,4.49,0.633465331,77
chess,4.49,0.727469549,82
pandas,4.46,0.820746042,93
billiard,4.46,0.842443724,85
netaddr,4.46,0.739409448,91
logbook,4.46,0.671641247,88
py-spy,4.46,0.607901681,78
geojson,4.46,0.671641247,86
awsiotsdk,4.46,0.610468818,84
domdf-python-tools,4.46,0.657422536,70
spotipy,4.46,0.725925668,84
blosc,4.46,0.638203263,75
pyjnius,4.46,0.733178985,85
iminuit,4.46,0.635088124,81
regex,4.43,0.382117397,81
portalocker,4.43,0.761851078,85
traitlets,4.43,0.631618188,94
toolz,4.43,0.652151859,79
simplejson,4.43,0.598301688,91
nltk,4.43,0.768963608,94
datetime,4.43,0.847643979,79
chex,4.43,0.750200632,94
tensorflow-datasets,4.43,0.57687669,94
pymdown-extensions,4.43,0.608281121,85
minio,4.43,0.70104686,91
treelib,4.43,0.676007095,85
btrees,4.43,0.535540802,71
aiofiles,4.41,0.751449006,88
anyio,4.41,0.741335072,94
marshmallow,4.41,0.675180959,100
oscrypto,4.41,0.774500864,78
faker,4.41,0.462968642,97
pyproj,4.41,0.633420647,97
vine,4.41,0.686072009,78
pyproject-api,4.41,0.673562908,85
pytest-rerunfailures,4.41,0.742973001,88
pyinstaller-hooks-contrib,4.41,0.738377175,82
flask-socketio,4.41,0.716411572,86
biopython,4.41,0.494134228,83
google-cloud-dns,4.41,0.754501945,68
gotrue,4.41,0.638606603,84
pyvisa-py,4.41,0.609467438,78
pyvo,4.41,0.608239348,84
grafana-client,4.41,0.751499292,78
goodtables,4.41,0.717027366,69
requests-toolbelt,4.38,0.649785712,95
orjson,4.38,0.56776913,87
typeguard,4.38,0.675114937,91
libclang,4.38,0.557077078,82
branca,4.38,0.620416509,77
iterfzf,4.38,0.797589317,73
kiwisolver,4.35,0.595092828,91
twilio,4.35,0.597552197,94
