Label,Pageranks
anyio-3.6.2,0.00087
brotli-1.0.9,0.000415
twisted-22.10.0,0.000308
tornado-6.3,0.000313
sympy-1.11.1,0.000363
markupsafe-2.0.1,0.001052
jupyter-core-5.3.0,0.000215
typer-0.7.0,0.000242
importlib-resources-5.12.0,0.000321
loguru-0.7.0,0.000258
pathlib-1.0.1,0.00022
uritemplate-4.1.1,0.000324
pyproj-3.5.0,0.000242
pyperclip-1.8.2,0.000319
pymongo-4.3.3,0.0004
imageio-2.27.0,0.000186
prompt-toolkit-3.0.38,0.000325
dnspython-2.3.0,0.001
orjson-3.8.10,0.000215
cached-property-1.5.2,0.000217
importlib-metadata-6.4.1,0.000374
pygments-2.15.1,0.000437
netifaces-0.11.0,0.000252
wcwidth-0.2.6,0.001198
ply-3.11,0.000563
zope-schema-7.0.1,0.000184
stevedore-5.0.0,0.000185
hypothesis-6.72.0,0.000567
jmespath-0.10.0,0.000577
zope-security-6.1,0.000139
isodate-0.6.1,0.000384
nbformat-5.8.0,0.000149
unidecode-1.3.6,0.000296
graphql-core-3.2.3,0.000609
qtpy-2.3.1,0.00035
platformdirs-3.2.0,0.000377
rsa-4.9,0.000555
constructs-3.4.293,0.000161
typing-3.7.4.3,0.000367
oslo-serialization-5.1.1,0.00012
netcdf4-1.6.3,0.000162
pluggy-1.0.0,0.000344
pendulum-2.1.2,0.0002
ipykernel-6.22.0,0.000224
pycryptodomex-3.17,0.000327
docker-6.0.1,0.000209
mypy-extensions-1.0.0,0.000344
nest-asyncio-1.5.6,0.000147
scipy-1.8.0,0.000215
uvicorn-0.21.1,0.00017
arrow-1.2.3,0.000324
pyasn1-modules-0.2.8,0.000484
xlsxwriter-3.1.0,0.000166
zope-i18nmessageid-6.0.1,0.000202
validators-0.20.0,0.000217
aiofiles-23.1.0,0.000243
humanize-4.6.0,0.000198
gunicorn-20.1.0,0.000183
jinja2-2.11.3,0.000207
paho-mqtt-1.6.1,0.000358
importlib-metadata-6.3.0,0.000202
aws-cdk-core-1.198.1,0.000144
fire-0.5.0,0.000256
transaction-3.1.0,0.000171
threadpoolctl-3.1.0,0.000223
zope-event-4.6,0.000307
cssselect-1.2.0,0.000317
keyring-23.13.1,0.00022
prometheus-client-0.16.0,0.000227
py-1.11.0,0.000318
asgiref-3.6.0,0.000991
sqlparse-0.4.3,0.000995
tifffile-2023.4.12,0.000151
opentelemetry-api-1.8.0,0.000317
oauthlib-3.2.2,0.000299
bcrypt-4.0.1,0.000337
webob-1.8.7,0.000309
markupsafe-2.1.1,0.000814
zope-configuration-4.4.1,0.00014
voluptuous-0.13.1,0.000249
coloredlogs-15.0.1,0.000157
fsspec-2023.4.0,0.000125
djangorestframework-3.14.0,0.000314
soupsieve-2.4,0.001315
google-cloud-storage-2.8.0,0.000194
jax-0.4.8,0.00017
jupyter-client-8.2.0,0.000155
zope-publisher-6.1.0,0.000118
cryptography-3.4.8,0.000412
geopandas-0.12.2,0.000154
nose-1.3.7,0.000242
python-slugify-8.0.1,0.000156
jinja2-3.0.3,0.000394
soupsieve-2.4.1,0.001304
adafruit-blinka-8.18.0,0.00057
jsonpickle-3.0.1,0.000271
torchvision-0.15.1,0.000138
requests-2.27.1,0.00075
pycrypto-2.6.1,0.00027
requests-2.26.0,0.000316
datetime-5.1,0.000224
oslo-config-9.1.1,0.000115
debtcollector-2.5.0,0.000142
tenacity-8.2.2,0.000211
mako-1.2.4,0.00019
graphql-core-2.3.2,0.000407
eth-utils-1.10.0,0.000263
entrypoints-0.4,0.000145
h2-4.1.0,0.000349
zope-location-4.3,0.000115
graphviz-0.20.1,0.000294
keras-2.12.0,0.000194
feedparser-6.0.10,0.000287
loguru-0.6.0,0.000216
deprecation-2.1.0,0.000311
alembic-1.10.3,0.000105
h11-0.14.0,0.00037
natsort-8.3.1,0.000164
blinker-1.6.2,0.000218
pandas-1.3.5,0.000155
frozenlist-1.3.3,0.00041
keystoneauth1-5.1.2,0.000106
backoff-2.2.1,0.00018
pydot-1.4.2,0.000181
aws-cdk-aws-iam-1.198.1,0.000112
rdflib-6.3.2,0.000305
six-1.12.0,0.000268
ecdsa-0.18.0,0.000243
multidict-5.2.0,0.00031
lru-dict-1.1.8,0.000101
pint-0.20.1,0.000154
hexbytes-0.3.0,0.000126
coverage-7.2.3,0.000289
rich-12.6.0,0.000274
typing-extensions-3.10.0.2,0.000234
aiodns-3.0.0,0.000227
filelock-3.12.0,0.000184
oauth2client-3.0.0,0.000206
w3lib-2.1.1,0.000142
zipp-3.15.0,0.000858
wget-3.2,0.000123
blessings-1.7,0.000504
importlib-metadata-6.5.0,0.00014
spacy-3.5.2,0.000246
botocore-1.29.114,0.000316
gspread-5.8.0,0.000227
pygithub-1.58.1,0.000189
commonmark-0.9.1,0.000333
humilis-1.7.1,0.000599
i3ipc-2.2.1,0.000449
inflection-0.5.1,0.000201
promise-2.3,0.000337
fastapi-0.95.1,0.000127
graphene-2.1.9,0.000253
exceptiongroup-1.1.1,0.00045
