Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,In_reach,Out_reach,Outgoing Risk (Inreach),Incoming Risk (Outreach)
11930,headercop-0.1.1,3,3.50E-05,0,0.520006626,4,1,2.508629064,0.520006626
2974,plaster-pastedeploy-1.0.1,3,5.60E-05,0.00077,0.809354875,3,16,2.507738384,12.17363345
13559,konlpy-0.6.0,4,4.50E-05,0.00046,0.671641247,5,2,2.499374591,1.382626743
147,jinja2-3.0.3,16,0.000394,0.01042,0.785435104,3,281,2.49699502,209.4638359
7000,camina-0.1.16,4,0.000302,0.00146,0.831849027,3,4,2.495382289,3.327194345
7001,miller-0.1.8,5,0.000391,0.00146,0.831713642,3,4,2.495382289,3.327194345
7002,nagata-0.1.5,3,0.000201,0.00053,0.83181962,3,4,2.495382289,3.327194345
7779,imgio-0.9.2,4,3.80E-05,0.00046,0.82996906,4,2,2.495026267,1.661068759
660,h2-4.1.0,19,0.000349,0.00989,0.969386084,3,162,2.494394323,119.6703677
1273,h2-3.2.0,7,8.30E-05,0.00233,0.969386084,3,12,2.494394323,8.773150715
10289,h2-2.6.2,4,7.00E-05,0.00098,0.969386084,3,6,2.494394323,4.927056222
4778,git-workon-3.0.0,2,3.50E-05,0,0.846864342,3,1,2.493247372,0.846864342
5268,opentelemetry-propagator-b3-1.8.0,3,3.60E-05,0.00046,0.541676312,4,2,2.490864137,1.350355124
2207,gym-tictactoe-np-0.3.0,2,3.50E-05,0,0.820698096,4,1,2.489343088,0.820698096
10551,holoscan-0.5.0,2,3.50E-05,0,0.675522591,4,1,2.487894865,0.675522591
13102,gpkg-tfserve-0.5.0,3,3.50E-05,0,0.831745166,4,1,2.483169259,0.831745166
8361,grabcarassignmentdorachua-0.0.8,2,3.50E-05,0,0.753324425,4,1,2.482561276,0.753324425
10958,metsrw-0.3.22,4,3.60E-05,0.00046,0.777430561,4,2,2.474010191,1.513554826
10690,cmeel-boost-1.81.0,3,5.30E-05,0.00048,0.699563819,4,3,2.471606092,1.967740859
5014,graph-wrapper-1.5.0,2,3.50E-05,0,0.83176741,4,1,2.471137391,0.83176741
7194,tensorboardx-2.5,4,3.70E-05,0.00046,0.650268131,4,2,2.466273096,1.324098772
6867,htmlwrite-0.7.0,2,3.50E-05,0,0.832527028,3,1,2.464280628,0.832527028
3213,autograd-1.5,11,7.90E-05,0.00329,0.597618855,5,12,2.462689163,8.380300375
11992,graphite-to-zabbix-0.1.6,2,3.50E-05,0,0.837206516,3,1,2.461140485,0.837206516
6000,iactor-2018.12.19,2,3.50E-05,0,0.848202351,3,1,2.459693251,0.848202351
10949,hesiod53-0.1.0,3,3.50E-05,0,0.662937123,4,1,2.458029665,0.662937123
2049,hashin-0.17.0,2,3.50E-05,0,0.759314167,4,1,2.457653476,0.759314167
944,qrcode-7.4.2,12,9.50E-05,0.00418,0.735210432,4,13,2.455744263,9.179092045
1569,outcome-1.2.0,5,9.50E-05,0.00172,0.799073753,3,124,2.454166005,91.78652672
4815,modernize-0.8.0,2,3.80E-05,0.00046,0.901483427,3,2,2.449609231,1.73318102
